date,district,latitude,longitude,temperature_c,precipitation_mm,relative_humidity_pct,solar_radiation_kwh_m2
2025-12-30,Pune,18.6134,73.3456,36.87,6.71,70.7,4.87
2025-02-24,Jalgaon,18.5271,73.2648,27.32,2.98,59.4,4.56
2025-09-01,Kolhapur,18.6284,74.2654,18.66,3.21,50.11,6.19
2025-11-16,Solapur,19.3013,73.3226,27.31,1.0,56.98,2.41
2025-05-11,Solapur,18.6138,75.0478,27.45,3.09,57.67,4.45
2025-11-03,Dhule,18.5136,73.792,30.39,18.52,66.55,4.79
2025-05-15,Solapur,18.6343,76.1349,26.9,19.76,65.31,4.66
2025-01-21,Satara,19.1589,75.7423,27.33,2.42,93.31,4.64
2025-11-25,Sangli,18.9165,75.449,23.84,0.22,62.71,4.47
2025-06-16,Ahmednagar,20.3436,75.1593,25.44,2.49,68.49,6.37
2025-10-01,Aurangabad,16.7227,76.0221,29.57,4.3,63.29,6.01
2025-03-30,Pune,20.2499,73.7807,16.96,8.07,,7.76
2025-11-12,Jalgaon,20.2977,76.0559,25.41,21.87,68.37,6.37
2025-01-14,Aurangabad,17.7821,75.7632,30.44,7.79,54.43,3.55
2025-08-30,Jalgaon,18.5828,75.6186,35.2,7.51,60.95,4.94
2025-09-22,Nashik,18.4734,74.9644,25.01,12.68,82.87,4.79
2025-12-12,Aurangabad,17.4833,73.8619,32.93,2.83,53.26,5.58
2025-02-22,Ahmednagar,18.2856,74.4824,35.45,7.53,68.97,6.84
2025-12-06,Dhule,16.6997,75.7775,25.07,9.35,20.0,5.48
2025-04-02,Satara,17.7502,73.1112,24.21,14.22,58.66,5.48
2025-09-21,Sangli,20.1751,75.7372,26.09,11.51,53.14,5.22
2025-02-04,Sangli,17.7805,73.8402,26.59,20.1,64.16,6.42
2025-07-25,Satara,20.1819,73.5051,32.45,3.67,57.75,4.35
2025-03-22,Kolhapur,18.8922,73.405,23.13,8.63,64.55,3.01
2025-02-19,Nashik,20.4594,73.0954,34.69,0.01,55.18,6.17
2025-12-26,Jalgaon,19.0865,74.8326,23.0,3.79,68.95,5.76
2025-01-02,Ahmednagar,16.6335,73.7639,20.68,2.69,31.14,7.19
2025-02-23,Solapur,19.5394,76.463,29.62,15.61,64.01,1.56
2025-04-16,Aurangabad,16.7018,75.0105,33.15,7.53,45.13,5.05
2025-09-17,Nashik,18.5277,73.4826,27.89,9.84,83.02,5.36
2025-11-06,Aurangabad,20.6824,75.4107,29.18,4.57,44.84,2.93
2025-07-10,Ahmednagar,17.2434,76.1421,36.77,11.35,79.91,5.07
2025-08-06,Pune,18.2544,75.6081,33.22,12.16,61.79,6.98
2025-02-13,Pune,19.7844,73.2675,27.15,3.66,29.08,8.33
2025-06-11,Nashik,20.4702,76.1356,24.84,4.75,46.23,6.67
2025-07-21,Dhule,19.5192,75.7788,32.48,5.44,77.26,4.71
2025-09-27,Ahmednagar,17.6618,73.5541,31.15,7.15,76.24,7.09
2025-12-17,Ahmednagar,19.5357,73.1813,29.09,1.39,38.61,6.57
2025-10-31,Satara,17.8353,74.9506,25.36,1.74,90.13,4.47
2025-09-28,Dhule,19.7329,73.5461,26.62,5.49,61.56,4.33
2025-08-03,Jalgaon,20.7931,75.9211,26.26,18.72,77.93,4.95
2025-09-09,Jalgaon,19.7463,74.2542,25.45,13.49,40.19,3.62
2025-07-09,Solapur,20.383,76.1951,23.99,1.96,53.79,4.73
2025-10-23,Sangli,16.5095,74.9799,28.33,11.68,69.49,5.93
2025-08-01,Pune,19.7291,73.6394,,2.61,56.36,6.76
2025-07-27,Jalgaon,20.2331,73.4886,27.89,2.17,20.0,4.63
2025-08-25,Dhule,16.6825,75.0177,16.5,12.68,58.57,7.28
2025-12-04,Ahmednagar,20.4222,75.6666,24.0,2.44,26.64,6.18
2025-02-22,Jalgaon,17.6551,75.7353,32.49,1.92,42.73,6.24
2025-10-07,Ahmednagar,19.4938,73.9652,22.5,7.21,36.75,3.82
2025-08-05,Jalgaon,20.1016,73.7149,29.96,3.11,82.39,7.91
2025-09-09,Pune,19.482,73.0586,22.91,0.4,88.03,6.03
2025-07-07,Aurangabad,16.9153,75.3772,30.88,4.22,68.15,4.7
2025-02-10,Jalgaon,19.1834,73.268,25.51,1.7,57.86,4.44
2025-06-06,Dhule,18.9731,74.4727,25.32,7.08,62.51,4.73
2025-01-15,Jalgaon,20.5514,75.1059,27.27,35.05,82.37,3.67
2025-10-28,Sangli,18.3191,76.2799,20.28,32.0,26.3,6.68
2025-03-06,Pune,17.9449,74.0913,31.86,20.96,42.65,3.83
2025-12-11,Dhule,19.8743,73.8742,33.52,6.77,80.07,5.63
2025-11-23,Satara,18.357,75.2896,25.2,6.42,83.82,4.53
2025-01-09,Dhule,19.4074,75.1673,29.62,9.89,72.61,6.21
2025-12-10,Sangli,19.409,74.1624,30.89,1.18,43.19,6.41
2025-05-09,Aurangabad,20.4962,76.2484,26.54,5.15,79.81,4.23
2025-05-16,Pune,19.1941,75.957,21.46,8.71,86.51,5.15
2025-03-04,Satara,18.7597,73.7839,34.97,16.43,74.93,3.03
2025-05-19,Sangli,17.1249,73.837,25.04,0.74,20.0,7.75
2025-03-22,Sangli,17.0208,74.7931,23.95,51.52,64.24,6.8
2025-06-12,Nashik,17.1944,75.7075,35.19,8.01,72.53,3.11
2025-10-16,Pune,17.2733,73.1541,30.05,3.66,52.72,3.9
2025-09-18,Dhule,19.3704,75.4267,28.29,5.49,65.36,5.0
2025-08-19,Ahmednagar,19.8344,75.2688,22.15,8.94,52.76,5.26
2025-02-10,Aurangabad,18.885,73.8102,31.01,4.28,46.49,4.17
2025-01-28,Ahmednagar,20.2306,75.3847,41.48,14.17,89.19,3.48
2025-05-15,Dhule,20.9607,76.2906,31.4,1.8,65.87,5.79
2025-07-20,Dhule,20.1901,73.1638,29.48,37.18,42.09,7.81
2025-11-24,Pune,19.627,74.1188,30.61,8.35,37.22,5.28
2025-09-25,Dhule,18.8962,74.5336,25.36,1.4,46.5,4.76
2025-02-02,Nashik,18.5198,76.1474,25.31,1.91,46.6,4.6
2025-02-17,Satara,16.8798,76.3679,25.25,13.53,64.64,3.55
2025-03-03,Dhule,18.2972,74.5544,24.13,10.18,70.74,4.19
2025-08-04,Ahmednagar,20.5956,75.6251,25.24,9.91,70.72,6.9
2025-10-20,Dhule,20.1361,74.8608,25.21,7.76,48.5,2.09
2025-04-09,Nashik,17.4722,74.8822,25.78,8.2,78.57,5.31
2025-06-21,Jalgaon,18.5997,73.9733,25.64,11.05,84.1,5.24
2025-12-26,Jalgaon,20.1753,73.7593,28.22,12.62,57.32,5.38
2025-08-02,Sangli,16.8032,74.008,27.39,7.87,43.42,6.29
2025-02-04,Aurangabad,18.2433,74.9471,27.84,6.26,63.81,5.29
2025-08-15,Solapur,20.3333,73.102,34.61,2.12,98.0,4.52
2025-04-11,Satara,18.3175,76.1754,27.38,6.89,42.95,4.22
2025-05-11,Kolhapur,16.8493,73.547,38.05,6.38,52.53,7.15
2025-09-14,Sangli,18.9414,73.7703,28.76,8.51,63.03,6.76
2025-01-05,Aurangabad,20.3778,74.814,24.76,4.05,71.75,9.0
2025-08-06,Jalgaon,19.1563,75.4854,33.75,7.79,26.26,4.78
2025-09-12,Ahmednagar,17.5183,73.3351,26.6,7.65,85.51,4.24
2025-12-25,Kolhapur,18.2291,74.1119,15.03,7.72,85.26,5.88
2025-10-10,Aurangabad,18.5256,76.3904,26.98,1.88,54.35,5.84
2025-07-26,Aurangabad,19.1067,73.9182,25.75,1.16,98.0,6.15
2025-01-15,Sangli,19.9171,74.0957,35.03,28.78,84.1,6.47
2025-12-12,Kolhapur,16.9449,75.9277,22.51,13.61,83.14,6.14
2025-02-11,Pune,20.5034,73.1758,25.34,5.42,83.38,6.81
2025-06-28,Solapur,16.5554,74.6261,33.34,7.08,82.86,7.01
2025-03-04,Pune,18.1652,74.3287,28.97,4.4,61.61,7.04
2025-12-18,Kolhapur,16.6234,74.1081,26.14,8.63,59.82,1.81
2025-08-19,Pune,18.2684,73.9999,23.22,8.32,45.02,5.55
2025-08-29,Nashik,18.8662,73.3198,28.76,8.63,51.61,3.82
2025-02-21,Jalgaon,18.8026,74.1019,26.85,2.18,56.4,6.78
2025-04-06,Nashik,17.2453,73.1507,23.16,11.62,63.18,1.78
2025-08-10,Dhule,19.4058,75.7334,23.42,7.61,90.77,7.4
2025-08-19,Pune,16.7015,74.3938,22.93,8.29,24.16,3.9
2025-08-25,Dhule,19.9286,74.5537,22.04,3.16,86.21,3.56
2025-05-23,Ahmednagar,20.7599,76.1276,31.67,13.37,43.79,5.73
2025-06-20,Satara,18.029,75.3032,31.0,8.18,60.12,4.64
2025-01-29,Ahmednagar,18.8276,73.0282,31.68,17.25,48.96,7.87
2025-02-05,Kolhapur,18.2051,76.3011,27.02,12.05,95.38,7.24
2025-01-13,Aurangabad,16.5302,73.83,25.79,6.88,53.0,4.43
2025-06-09,Jalgaon,18.2364,73.3766,25.88,12.48,71.39,6.76
2025-11-23,Pune,20.0627,75.6884,32.11,20.03,72.32,4.38
2025-07-06,Sangli,19.1819,74.7517,17.9,2.03,41.12,4.37
2025-08-31,Satara,16.9557,74.5182,24.43,1.97,60.26,6.27
2025-03-27,Solapur,20.3121,73.8733,22.56,16.64,83.68,7.38
2025-10-11,Solapur,18.8899,74.9162,33.8,2.74,46.28,4.54
2025-03-07,Solapur,20.2878,73.9603,24.61,0.75,76.92,4.65
2025-06-19,Pune,19.111,76.1555,18.82,3.67,56.04,5.65
2025-02-14,Solapur,19.0186,73.7532,28.12,11.29,82.95,3.86
2025-03-03,Nashik,16.9737,76.0952,25.15,4.05,93.45,7.55
2025-05-14,Satara,17.2531,74.9579,24.22,9.65,25.86,3.84
2025-10-11,Nashik,20.8741,75.8997,23.7,10.84,37.91,4.25
2025-01-28,Aurangabad,17.5282,75.495,23.5,6.57,54.11,7.85
2025-04-18,Satara,20.8985,75.4384,30.54,11.9,88.38,5.52
2025-02-13,Nashik,18.8936,74.1352,28.12,2.26,71.58,8.12
2025-12-06,Satara,17.1111,73.8186,26.01,8.78,39.59,4.87
2025-10-13,Aurangabad,16.9469,73.7381,21.51,7.7,74.22,8.98
2025-11-27,Dhule,17.4399,76.0002,26.16,19.61,45.55,6.12
2025-05-08,Pune,20.6654,75.8715,28.3,0.61,77.67,4.07
2025-12-14,Pune,18.3637,74.542,28.49,8.94,71.7,4.05
2025-08-19,Solapur,18.2795,73.4634,27.8,7.54,45.47,3.01
2025-07-09,Ahmednagar,17.9094,74.3379,22.39,5.03,60.81,3.18
2025-08-13,Solapur,17.1618,75.1677,14.98,0.51,84.04,4.21
2025-10-10,Kolhapur,18.6953,74.5904,36.0,1.54,27.94,3.71
2025-05-01,Nashik,17.0852,75.7307,20.45,4.12,67.42,1.33
2025-04-26,Satara,20.2597,76.4917,17.18,9.02,42.08,6.46
2025-08-21,Ahmednagar,18.1668,73.669,27.65,1.73,61.71,6.36
2025-09-16,Aurangabad,18.1866,74.6088,18.46,18.19,70.24,5.66
2025-12-25,Kolhapur,18.633,74.5084,22.98,6.78,98.0,3.5
2025-07-17,Aurangabad,18.4986,74.0657,,14.28,61.53,7.67
2025-05-17,Pune,20.9769,73.6933,35.86,23.73,88.38,4.93
2025-11-14,Pune,18.9542,73.2299,28.94,2.41,46.87,3.95
2025-06-14,Solapur,16.8969,76.1049,24.8,0.02,53.09,5.55
2025-08-13,Nashik,19.2309,74.4695,26.74,5.42,72.57,5.46
2025-11-03,Ahmednagar,17.1821,74.7391,17.96,1.58,65.63,1.45
2025-08-22,Jalgaon,16.6392,76.2093,24.75,37.61,56.09,5.15
2025-06-21,Kolhapur,20.8683,75.717,24.75,7.79,55.6,5.38
2025-06-01,Kolhapur,19.9809,73.4568,27.77,8.02,86.0,4.63
2025-11-11,Solapur,20.9105,74.979,36.71,2.17,56.81,3.22
2025-06-09,Pune,18.6505,74.5479,17.32,18.47,43.62,3.26
2025-04-06,Solapur,18.8952,75.7902,24.96,12.0,46.61,5.97
2025-08-21,Satara,17.2575,75.5348,17.83,5.21,74.06,6.34
2025-06-29,Ahmednagar,17.6111,75.4164,24.48,10.56,98.0,4.53
2025-04-23,Nashik,20.2735,74.1919,22.68,9.41,52.57,5.77
2025-11-14,Dhule,18.1028,75.8174,19.53,12.88,98.0,4.51
2025-02-21,Sangli,20.2207,73.1834,31.57,4.71,61.8,3.92
2025-09-25,Sangli,19.6906,73.5587,28.28,7.8,56.96,5.52
2025-10-22,Solapur,17.2973,74.1747,30.98,4.5,45.62,3.48
2025-04-23,Satara,18.7835,73.2688,24.34,3.22,58.44,8.04
2025-04-11,Ahmednagar,19.5482,73.8225,26.65,9.17,48.39,3.04
2025-04-23,Jalgaon,17.5577,75.9055,34.97,1.72,46.95,5.63
2025-03-22,Sangli,20.2381,76.3189,26.99,24.79,32.26,5.43
2025-07-06,Ahmednagar,18.9517,74.0661,31.04,8.44,93.79,5.29
2025-04-23,Nashik,17.2436,73.9258,23.91,1.98,81.16,7.43
2025-01-02,Aurangabad,19.1234,73.9796,30.58,16.62,66.89,1.17
2025-05-10,Satara,20.9987,73.972,24.26,8.0,59.41,5.82
2025-08-08,Pune,17.1773,73.1258,17.52,1.31,61.9,4.79
2025-02-23,Ahmednagar,20.1754,76.2442,26.96,3.37,48.02,6.08
2025-12-09,Nashik,17.4329,73.7479,24.65,6.6,41.59,5.28
2025-08-12,Jalgaon,20.0207,74.47,18.88,1.7,74.91,5.09
2025-08-13,Dhule,19.8056,73.0339,27.96,21.93,57.28,3.39
2025-05-06,Pune,17.8522,76.0028,22.53,9.33,67.86,4.19
2025-05-10,Dhule,17.9662,75.5591,42.46,9.66,32.08,9.0
2025-02-22,Jalgaon,20.0663,76.3136,19.68,3.47,56.32,6.09
2025-06-21,Nashik,18.5765,75.7357,20.94,14.08,41.24,6.78
2025-08-06,Sangli,19.7887,74.098,31.35,11.28,70.71,4.67
2025-06-09,Dhule,17.1659,73.8676,26.33,6.29,79.92,3.92
2025-07-17,Pune,20.3365,75.442,31.25,7.18,88.27,6.36
2025-09-04,Solapur,19.699,74.2744,28.9,24.46,50.68,2.34
2025-11-20,Kolhapur,20.5812,74.9818,24.09,4.0,41.7,4.22
2025-07-22,Ahmednagar,17.0957,73.0219,20.1,14.15,54.47,4.67
2025-07-03,Sangli,19.1686,73.2166,32.36,7.1,49.41,6.62
2025-05-03,Dhule,19.196,74.8738,20.56,9.11,69.76,5.82
2025-09-12,Aurangabad,18.0906,74.9813,29.79,5.91,36.75,4.49
2025-10-21,Ahmednagar,18.5631,75.6301,31.59,27.74,30.42,5.75
2025-10-07,Solapur,16.6709,73.4619,26.37,10.17,55.76,4.75
2025-11-21,Jalgaon,19.8564,74.7961,25.48,10.42,75.08,6.81
2025-04-08,Kolhapur,18.972,73.6806,22.08,1.51,43.51,5.55
2025-07-17,Nashik,16.7598,73.3262,29.31,3.16,77.28,7.8
2025-08-28,Solapur,19.5634,74.4367,11.77,10.64,68.58,4.78
2025-05-24,Solapur,18.6005,73.5717,30.58,6.15,89.84,7.04
2025-04-07,Jalgaon,16.6551,73.7762,27.6,1.64,47.56,5.34
2025-07-20,Satara,20.8632,74.1114,25.89,16.08,33.08,4.15
2025-05-04,Jalgaon,20.771,73.9079,28.21,1.81,72.77,9.0
2025-07-06,Satara,18.8081,73.3066,20.13,31.01,67.04,7.16
2025-11-22,Satara,16.9215,73.3147,14.94,12.0,65.64,5.55
2025-12-15,Sangli,19.8958,73.6764,29.34,6.87,43.14,6.35
2025-09-16,Sangli,18.7137,73.177,33.58,5.41,75.95,3.58
2025-05-28,Pune,17.861,75.1926,18.3,3.0,50.6,3.63
2025-09-09,Dhule,18.7114,74.0056,21.74,0.24,65.64,6.87
2025-12-12,Dhule,18.851,73.9791,30.76,2.54,53.73,5.21
2025-05-27,Nashik,19.0322,74.162,28.79,10.68,68.38,4.97
2025-05-28,Dhule,18.4855,75.3198,41.82,1.25,40.49,4.77
2025-12-18,Sangli,19.2259,76.0472,32.38,4.65,70.99,5.43
2025-07-18,Pune,20.6343,75.6568,31.18,28.6,73.84,4.82
2025-11-04,Pune,18.1302,75.5464,23.18,3.19,64.09,2.15
2025-05-08,Satara,19.7657,74.6954,29.62,0.58,91.59,7.32
2025-02-08,Jalgaon,20.525,75.4283,34.48,1.45,65.73,5.03
2025-12-04,Nashik,18.5519,74.9347,26.18,30.23,78.54,7.95
2025-12-26,Satara,18.4956,73.7569,26.41,7.93,63.66,2.56
2025-05-09,Jalgaon,19.2095,73.7301,27.71,2.42,76.93,2.55
2025-09-24,Dhule,19.1613,74.0374,23.68,10.28,34.4,4.79
2025-05-31,Satara,20.1297,76.1878,28.34,2.02,62.59,6.67
2025-10-25,Ahmednagar,18.6442,74.916,28.22,0.11,41.72,3.37
2025-04-09,Dhule,20.9826,75.5687,34.4,22.09,64.53,3.31
2025-09-20,Jalgaon,16.7676,74.213,26.05,5.38,68.92,5.76
2025-09-09,Nashik,16.5143,74.427,30.37,13.8,76.53,4.73
2025-05-24,Jalgaon,19.3809,73.4395,26.2,4.96,70.82,6.02
2025-12-12,Satara,17.843,73.5995,30.2,7.21,55.94,4.76
2025-04-22,Satara,17.5817,75.8957,25.75,7.09,48.44,5.78
2025-03-01,Solapur,17.9035,75.0469,29.87,10.04,20.0,7.25
2025-01-02,Nashik,17.6522,74.1814,30.64,0.98,63.24,3.37
2025-10-31,Aurangabad,16.6386,75.81,21.67,20.71,82.48,6.98
2025-09-11,Dhule,20.8719,73.8628,32.51,10.91,63.95,2.64
2025-05-20,Pune,17.4934,76.4161,26.17,5.44,60.47,6.11
2025-02-06,Nashik,19.8031,74.2069,24.65,22.51,64.58,7.33
2025-06-09,Pune,19.9317,74.1806,23.45,13.59,55.02,4.41
2025-01-09,Nashik,20.6817,74.0917,28.49,0.84,65.51,6.17
2025-08-21,Nashik,16.6375,73.4274,26.98,15.82,54.71,4.47
2025-04-09,Jalgaon,20.4242,73.389,28.85,2.63,45.82,6.08
2025-05-27,Nashik,18.8725,75.2684,28.95,0.56,60.64,1.81
2025-10-31,Solapur,19.3464,76.0629,30.04,1.94,60.25,5.44
2025-07-27,Aurangabad,19.4001,75.7668,40.88,13.06,95.75,5.79
2025-05-11,Satara,20.1891,73.4939,27.2,8.17,47.5,7.22
2025-06-01,Kolhapur,18.0003,74.9095,23.33,10.66,59.13,6.59
2025-02-23,Pune,19.7987,73.3696,16.9,15.34,57.38,4.96
2025-04-30,Satara,18.8786,73.1585,21.02,5.46,53.94,5.6
2025-06-10,Kolhapur,20.0703,75.2974,33.18,23.35,71.24,3.03
2025-04-26,Aurangabad,20.9575,74.873,30.6,7.25,98.0,7.67
2025-03-16,Aurangabad,17.4029,73.2871,20.25,0.47,56.23,6.24
2025-04-23,Pune,20.9759,73.1223,39.32,30.87,71.29,2.41
2025-04-14,Pune,16.9042,76.4641,28.63,1.0,27.58,5.57
2025-12-06,Aurangabad,16.5104,73.1051,29.3,19.22,54.92,5.68
2025-09-11,Kolhapur,16.6987,74.5558,38.22,0.32,89.99,4.04
2025-08-15,Nashik,18.038,74.7662,35.7,8.46,61.01,5.35
2025-04-22,Dhule,19.3481,73.4105,30.91,3.24,71.04,3.89
2025-04-09,Ahmednagar,16.8106,73.5917,31.15,10.94,50.79,3.09
2025-06-02,Satara,16.5255,74.2313,31.61,29.64,66.64,4.28
2025-12-15,Jalgaon,20.7169,75.6659,25.8,5.17,91.39,5.46
2025-12-04,Satara,20.1987,74.7748,28.43,1.06,41.12,6.59
2025-07-13,Jalgaon,20.1413,75.2327,29.87,8.5,98.0,5.3
2025-11-06,Kolhapur,20.4799,76.4481,26.37,5.33,34.17,6.61
2025-06-12,Jalgaon,19.6502,75.688,22.17,1.52,53.26,6.17
2025-07-27,Pune,16.9698,74.5203,25.67,12.59,46.95,3.65
2025-06-18,Dhule,18.296,74.5625,22.06,2.51,57.1,6.16
2025-06-10,Dhule,19.7542,75.1657,27.32,10.28,46.72,6.2
2025-03-09,Pune,17.7615,75.3288,18.1,2.52,45.36,7.81
2025-10-16,Solapur,19.5933,74.7525,28.71,1.11,40.64,5.82
2025-10-04,Kolhapur,16.6102,75.257,18.84,14.1,73.59,3.35
2025-10-31,Solapur,17.8776,73.0824,24.98,8.6,57.72,4.37
2025-05-15,Solapur,18.9711,74.5037,29.52,1.63,53.01,2.42
2025-07-14,Satara,19.3444,73.9763,30.96,5.38,67.08,5.97
2025-05-08,Aurangabad,19.0967,73.4521,30.36,16.79,35.1,7.68
2025-02-02,Satara,19.6399,73.3484,28.6,0.24,67.51,1.61
2025-06-25,Aurangabad,16.5274,75.1112,21.4,24.13,60.31,7.74
2025-01-22,Ahmednagar,16.9542,74.8326,31.9,9.31,60.87,5.95
2025-08-26,Jalgaon,20.4102,73.8875,21.52,6.63,,3.59
2025-06-07,Aurangabad,19.5679,74.6483,32.47,13.88,91.58,5.59
2025-02-07,Pune,17.0082,74.7228,30.14,14.85,67.81,3.63
2025-08-18,Satara,20.2893,73.6825,33.79,0.74,58.4,5.86
2025-12-31,Kolhapur,17.59,75.2823,27.12,4.68,40.71,5.3
2025-02-20,Jalgaon,18.6522,75.7332,22.91,4.44,20.0,5.69
2025-09-21,Ahmednagar,17.1534,75.7701,20.54,8.83,64.3,3.82
2025-10-10,Aurangabad,19.6955,75.1086,21.09,29.88,,4.04
2025-01-27,Ahmednagar,19.5008,74.7907,18.82,6.61,20.0,5.95
2025-08-14,Kolhapur,17.45,73.2135,31.71,2.98,55.68,4.45
2025-10-04,Solapur,20.3853,74.0074,32.34,8.6,66.31,5.42
2025-10-13,Dhule,18.3059,73.3265,29.77,4.23,75.4,5.88
2025-04-07,Kolhapur,17.8163,76.3734,26.83,6.58,81.1,4.87
2025-10-11,Sangli,17.1855,73.4728,37.3,8.8,77.76,6.93
2025-11-13,Kolhapur,17.6978,73.5312,,18.59,78.25,4.92
2025-10-31,Ahmednagar,16.5991,76.1135,28.1,3.01,35.57,4.88
2025-05-27,Pune,19.1247,76.3037,26.76,6.3,59.31,4.25
2025-01-04,Satara,20.29,75.6804,25.31,5.48,72.44,6.76
2025-02-04,Pune,18.9704,73.0189,30.15,20.31,62.83,4.14
2025-07-11,Ahmednagar,17.4867,73.0047,23.83,15.71,59.21,7.08
2025-02-18,Satara,16.6515,74.3234,23.5,22.91,62.51,5.44
2025-01-17,Sangli,17.4658,73.5019,30.41,11.93,66.42,9.0
2025-06-21,Dhule,18.3725,73.0644,24.51,2.53,60.62,4.21
2025-08-08,Jalgaon,19.9183,74.6242,27.67,9.35,46.77,7.11
2025-06-07,Ahmednagar,17.3453,76.3007,25.29,6.57,31.35,5.97
2025-02-15,Aurangabad,19.7391,74.1334,26.94,6.04,58.33,4.43
2025-01-06,Ahmednagar,20.4012,75.314,23.63,9.13,63.03,5.99
2025-04-09,Ahmednagar,18.5428,75.2828,23.8,2.43,62.84,5.91
2025-08-21,Satara,20.1964,73.8788,22.9,2.14,79.15,4.7
2025-02-06,Nashik,18.996,75.2765,31.22,19.9,82.35,5.84
2025-10-07,Kolhapur,19.3669,73.7432,27.86,1.89,60.13,6.95
2025-12-15,Nashik,18.8683,73.427,31.59,5.95,60.26,5.97
2025-10-29,Sangli,18.5843,75.4548,32.13,34.14,72.32,4.57
2025-06-30,Aurangabad,17.5559,73.397,24.7,15.24,69.68,4.49
2025-04-05,Dhule,17.8644,76.4892,31.41,1.22,54.03,5.07
2025-04-09,Solapur,17.8049,73.6421,26.93,21.83,73.86,6.87
2025-07-07,Sangli,19.0348,75.0795,26.21,17.52,59.37,4.07
2025-04-26,Solapur,17.0398,74.4398,33.26,13.41,59.75,5.79
2025-07-10,Solapur,20.6256,73.4424,29.77,14.72,69.81,2.86
2025-09-10,Dhule,19.7429,73.0975,25.24,2.62,56.58,6.09
2025-06-10,Pune,18.3065,75.1796,,15.88,63.7,6.33
2025-09-13,Nashik,17.2138,75.8237,20.67,27.11,67.36,8.24
2025-11-19,Ahmednagar,20.469,75.9471,28.24,5.54,76.71,6.59
2025-05-08,Jalgaon,20.207,74.6895,19.5,4.66,75.47,4.6
2025-01-18,Solapur,19.7477,75.7211,22.08,5.3,66.81,2.9
2025-10-08,Aurangabad,17.722,75.355,29.92,13.22,20.0,5.97
2025-08-11,Sangli,18.311,75.5349,13.65,15.15,66.38,4.71
2025-02-23,Pune,16.9624,74.7241,36.01,3.24,69.16,5.7
2025-02-27,Solapur,17.3507,75.2169,31.17,0.26,72.82,4.12
2025-11-19,Pune,20.0236,75.8193,17.81,3.76,44.79,4.94
2025-12-26,Pune,19.7177,74.3926,38.99,3.84,23.8,2.65
2025-06-23,Solapur,19.1707,75.8209,40.37,15.19,76.51,3.63
2025-10-07,Satara,20.5308,75.0721,26.1,12.09,39.96,3.42
2025-04-24,Kolhapur,19.1247,73.5807,22.37,9.03,84.0,6.51
