arrival_date,state,district,market,commodity,variety,min_price_per_quintal,max_price_per_quintal,modal_price_per_quintal
2025-12-28,Maharashtra,Satara,Sangli,Cotton,Medium Staple,4288.65,5122.1,4500.72
2025-09-01,Maharashtra,Jalgaon,Lasalgaon,Onion,White,3117.71,4039.55,3398.98
2025-08-30,Maharashtra,Jalgaon,Ahmednagar,Chickpea,Desi,2586.08,3287.85,2989.0
2025-08-10,Maharashtra,Solapur,Nashik,Maize,Yellow,4979.74,6000.79,5366.15
2025-06-17,Maharashtra,Dhule,Nashik,Tomato,Hybrid,1505.27,2260.49,1845.45
2025-05-01,Maharashtra,Dhule,Lasalgaon,Rice,Basmati,2090.53,3208.01,2379.17
2025-01-02,Maharashtra,Kolhapur,Sangli,Potato,Local,462.17,854.11,650.48
2025-04-28,Maharashtra,Satara,Lasalgaon,Onion,White,2656.82,3577.89,3249.38
2025-05-16,Maharashtra,Ahmednagar,Nashik,Sugarcane,Local,1886.6,2408.66,2255.86
2025-11-26,Maharashtra,Solapur,Kolhapur,Rice,Non-Basmati,1312.03,2160.53,1755.81
2025-05-07,Maharashtra,Jalgaon,Lasalgaon,Rice,Basmati,1352.79,1999.42,1780.72
2025-08-29,Maharashtra,Aurangabad,Lasalgaon,Potato,Local,1100.72,2322.13,1546.02
2025-04-18,Maharashtra,Kolhapur,Ahmednagar,Rice,Basmati,1774.37,3137.31,2297.28
2025-10-26,Maharashtra,Dhule,Nashik,Rice,Basmati,292.17,1405.34,769.8
2025-04-22,Maharashtra,Satara,Pune,Soybean,Bold,613.55,1060.56,877.89
2025-06-12,Maharashtra,Nashik,Ahmednagar,Wheat,Lokwan,739.19,1544.72,1171.41
2025-10-02,Maharashtra,Jalgaon,Kolhapur,Maize,Yellow,1509.16,2627.46,1755.87
2025-01-19,Maharashtra,Ahmednagar,Kolhapur,Wheat,Lokwan,1489.94,2152.28,1943.24
2025-08-21,Maharashtra,Ahmednagar,Jalgaon,Wheat,Sharbati,100.0,845.19,300.0
2025-01-20,Maharashtra,Jalgaon,Sangli,Soybean,Yellow,1758.16,2264.15,1881.81
2025-08-29,Maharashtra,Solapur,Nashik,Maize,Yellow,950.1,2389.82,1490.49
2025-09-17,Maharashtra,Dhule,Kolhapur,Onion,Red,3174.52,3767.63,3439.32
2025-02-18,Maharashtra,Solapur,Ahmednagar,Maize,Yellow,767.9,1558.24,1420.02
2025-06-03,Maharashtra,Pune,Jalgaon,Tomato,Hybrid,3436.44,4366.52,3704.77
2025-01-03,Maharashtra,Sangli,Ahmednagar,Cotton,Medium Staple,3892.29,4951.65,4590.26
2025-11-04,Maharashtra,Ahmednagar,Kolhapur,Soybean,Bold,3522.41,4526.25,3900.18
2025-10-19,Maharashtra,Solapur,Pune,Chickpea,Kabuli,1206.06,1505.63,1321.91
2025-06-18,Maharashtra,Ahmednagar,Kolhapur,Tomato,Hybrid,2977.58,3641.79,3123.34
2025-07-17,Maharashtra,Nashik,Lasalgaon,Soybean,Bold,1193.3,1742.74,1342.55
2025-06-28,Maharashtra,Solapur,Pune,Soybean,Yellow,1375.66,2038.81,1509.39
2025-04-13,Maharashtra,Jalgaon,Nashik,Rice,Non-Basmati,1329.27,2372.72,1589.95
2025-08-07,Maharashtra,Kolhapur,Ahmednagar,Tomato,Hybrid,2368.62,3541.57,2663.37
2025-01-16,Maharashtra,Satara,Ahmednagar,Sugarcane,Local,1284.51,2153.79,1451.28
2025-02-16,Maharashtra,Aurangabad,Nashik,Soybean,Yellow,2183.53,3259.9,2546.41
2025-12-02,Maharashtra,Jalgaon,Jalgaon,Soybean,Bold,3695.75,4538.11,4014.96
2025-02-15,Maharashtra,Solapur,Lasalgaon,Cotton,Long Staple,696.05,1355.77,1177.85
2025-04-10,Maharashtra,Satara,Kolhapur,Wheat,Lokwan,352.68,1203.85,570.2
2025-07-02,Maharashtra,Ahmednagar,Kolhapur,Sugarcane,Local,1083.44,1950.06,1731.83
2025-12-20,Maharashtra,Ahmednagar,Jalgaon,Wheat,Lokwan,3803.99,4510.11,4213.59
2025-08-04,Maharashtra,Aurangabad,Ahmednagar,Potato,Local,2852.05,3992.35,3326.29
2025-05-14,Maharashtra,Aurangabad,Kolhapur,Rice,Non-Basmati,1350.83,2100.14,1474.55
2025-12-06,Maharashtra,Dhule,Nashik,Maize,White,810.0,1596.91,1245.45
2025-11-13,Maharashtra,Sangli,Jalgaon,Wheat,Sharbati,2567.53,3606.03,2888.39
2025-01-09,Maharashtra,Dhule,Solapur,Chickpea,Desi,1962.62,3468.58,2617.13
2025-08-01,Maharashtra,Jalgaon,Pune,Chickpea,Kabuli,2615.94,3783.54,3247.33
2025-05-19,Maharashtra,Pune,Solapur,Maize,White,631.12,1755.86,1113.71
2025-08-10,Maharashtra,Kolhapur,Solapur,Maize,Yellow,1838.72,2716.85,2399.43
2025-11-17,Maharashtra,Pune,Pune,Wheat,Sharbati,3088.41,4451.81,
2025-04-01,Maharashtra,Kolhapur,Nashik,Onion,White,3744.18,4173.32,3854.36
2025-11-11,Maharashtra,Ahmednagar,Pune,Tomato,Hybrid,491.6,1823.4,1013.47
2025-04-22,Maharashtra,Dhule,Lasalgaon,Soybean,Bold,2191.33,3239.88,2397.59
2025-04-23,Maharashtra,Solapur,Solapur,Soybean,Yellow,1647.29,2832.54,2156.83
2025-07-17,Maharashtra,Jalgaon,Ahmednagar,Maize,White,1389.53,2245.1,1495.83
2025-09-20,Maharashtra,Solapur,Solapur,Potato,Local,1330.91,2083.74,1617.45
2025-11-13,Maharashtra,Pune,Jalgaon,Chickpea,Desi,2770.27,4016.06,3180.42
2025-11-09,Maharashtra,Solapur,Nashik,Sugarcane,Local,1280.93,2274.95,1580.84
2025-12-08,Maharashtra,Sangli,Pune,Soybean,Yellow,1835.72,2713.51,2352.12
2025-06-11,Maharashtra,Dhule,Ahmednagar,Wheat,Lokwan,2670.45,3212.03,3084.07
2025-03-25,Maharashtra,Ahmednagar,Jalgaon,Potato,Jyoti,3927.13,5135.56,4602.93
2025-02-14,Maharashtra,Jalgaon,Kolhapur,Potato,Local,2544.55,3631.76,2859.24
2025-02-14,Maharashtra,Jalgaon,Sangli,Potato,Local,2831.85,4153.5,3364.96
2025-09-28,Maharashtra,Aurangabad,Kolhapur,Tomato,Hybrid,2214.04,3583.64,2815.54
2025-07-29,Maharashtra,Ahmednagar,Ahmednagar,Sugarcane,Local,2001.12,2525.08,2253.29
2025-06-23,Maharashtra,Dhule,Nashik,Onion,White,1679.39,2672.79,2231.87
2025-09-04,Maharashtra,Satara,Nashik,Potato,Local,2024.46,2951.51,2360.45
2025-06-23,Maharashtra,Satara,Nashik,Maize,Yellow,122.76,934.05,300.0
2025-02-05,Maharashtra,Pune,Jalgaon,Cotton,Long Staple,2005.38,2475.23,2107.57
2025-10-29,Maharashtra,Dhule,Pune,Onion,White,2479.69,3680.06,3025.94
2025-10-25,Maharashtra,Kolhapur,Nashik,Maize,Yellow,1403.89,2188.36,1615.64
2025-06-07,Maharashtra,Pune,Jalgaon,Sugarcane,Local,4112.65,4796.79,4243.37
2025-05-19,Maharashtra,Solapur,Lasalgaon,Cotton,Long Staple,2251.91,3280.65,2650.23
2025-02-02,Maharashtra,Sangli,Lasalgaon,Potato,Local,2034.57,2925.28,2342.59
2025-09-08,Maharashtra,Jalgaon,Solapur,Chickpea,Desi,2987.95,3736.54,3503.04
2025-11-22,Maharashtra,Aurangabad,Solapur,Rice,Non-Basmati,3012.47,3976.42,3176.89
2025-06-20,Maharashtra,Pune,Pune,Sugarcane,Local,3679.79,4151.84,3859.38
2025-04-20,Maharashtra,Kolhapur,Sangli,Onion,Red,3750.65,4788.71,4093.12
2025-06-16,Maharashtra,Sangli,Solapur,Chickpea,Kabuli,3846.12,4499.53,4258.37
2025-05-05,Maharashtra,Pune,Solapur,Chickpea,Desi,2453.71,3677.0,3048.23
2025-08-02,Maharashtra,Aurangabad,Solapur,Wheat,Lokwan,804.28,2072.2,1255.65
2025-10-22,Maharashtra,Ahmednagar,Ahmednagar,Rice,Non-Basmati,1572.44,2321.77,2214.0
2025-06-30,Maharashtra,Sangli,Kolhapur,Cotton,Medium Staple,4236.14,5350.54,4466.8
2025-03-24,Maharashtra,Aurangabad,Jalgaon,Wheat,Sharbati,2353.54,2935.01,2811.27
2025-12-28,Maharashtra,Nashik,Solapur,Onion,Red,1485.84,2088.08,1978.98
2025-11-15,Maharashtra,Kolhapur,Kolhapur,Cotton,Medium Staple,1310.65,2632.18,1846.13
2025-01-25,Maharashtra,Nashik,Nashik,Potato,Jyoti,513.87,1874.02,1207.06
2025-09-03,Maharashtra,Satara,Solapur,Onion,Red,3222.38,3787.85,3603.2
2025-02-10,Maharashtra,Satara,Ahmednagar,Soybean,Bold,1636.38,2807.9,1957.97
2025-02-28,Maharashtra,Nashik,Pune,Potato,Jyoti,709.31,1958.18,1320.64
2025-06-26,Maharashtra,Kolhapur,Ahmednagar,Maize,White,1250.07,1644.98,1456.14
2025-01-30,Maharashtra,Dhule,Nashik,Chickpea,Kabuli,177.78,1088.44,300.0
2025-02-14,Maharashtra,Ahmednagar,Ahmednagar,Chickpea,Kabuli,2981.19,3832.07,3347.34
2025-11-05,Maharashtra,Aurangabad,Kolhapur,Rice,Non-Basmati,1966.81,2537.64,2215.13
2025-06-03,Maharashtra,Nashik,Nashik,Wheat,Sharbati,687.65,1785.6,1025.57
2025-02-09,Maharashtra,Pune,Pune,Sugarcane,Local,3472.93,4855.34,4164.58
2025-05-20,Maharashtra,Nashik,Kolhapur,Wheat,Sharbati,2246.72,3154.25,2555.82
2025-09-14,Maharashtra,Jalgaon,Sangli,Sugarcane,Local,100.0,1118.81,300.0
2025-03-11,Maharashtra,Solapur,Solapur,Maize,White,3115.93,4155.2,3366.17
2025-05-16,Maharashtra,Kolhapur,Lasalgaon,Tomato,Local,1005.04,1568.52,1287.09
2025-08-24,Maharashtra,Sangli,Sangli,Potato,Local,2968.63,4017.47,3214.52
2025-04-22,Maharashtra,Jalgaon,Solapur,Potato,Jyoti,2662.84,3505.37,3106.14
2025-02-02,Maharashtra,Jalgaon,Lasalgaon,Wheat,Sharbati,2429.17,3110.26,2664.84
2025-07-15,Maharashtra,Satara,Nashik,Maize,Yellow,466.93,1875.82,997.95
2025-06-27,Maharashtra,Sangli,Ahmednagar,Cotton,Long Staple,512.68,1728.74,1020.84
2025-12-26,Maharashtra,Aurangabad,Nashik,Tomato,Local,2088.56,2798.51,2441.32
2025-05-14,Maharashtra,Nashik,Nashik,Cotton,Long Staple,1255.0,1988.69,1370.35
2025-07-10,Maharashtra,Solapur,Solapur,Rice,Non-Basmati,3849.6,4494.65,3963.19
2025-12-01,Maharashtra,Sangli,Pune,Wheat,Lokwan,1958.55,2571.52,2378.24
2025-01-06,Maharashtra,Jalgaon,Nashik,Maize,Yellow,690.64,2104.37,1294.16
2025-10-20,Maharashtra,Pune,Jalgaon,Maize,White,3238.94,4455.77,3698.27
2025-06-28,Maharashtra,Pune,Nashik,Onion,White,100.0,1022.17,300.0
2025-10-10,Maharashtra,Ahmednagar,Nashik,Soybean,Bold,1712.53,2889.12,2341.8
2025-04-16,Maharashtra,Ahmednagar,Ahmednagar,Potato,Jyoti,2949.21,3444.08,3167.41
2025-09-03,Maharashtra,Kolhapur,Solapur,Maize,Yellow,949.57,2072.35,1265.23
2025-11-21,Maharashtra,Nashik,Kolhapur,Chickpea,Kabuli,1541.91,2363.46,1981.09
2025-08-19,Maharashtra,Pune,Lasalgaon,Tomato,Local,1415.72,1806.82,1690.72
2025-08-03,Maharashtra,Nashik,Sangli,Potato,Local,452.03,2036.08,1150.66
2025-09-30,Maharashtra,Jalgaon,Nashik,Potato,Local,2220.36,3380.68,2591.76
2025-04-15,Maharashtra,Aurangabad,Sangli,Wheat,Lokwan,3390.19,4119.37,3521.23
2025-01-23,Maharashtra,Jalgaon,Pune,Tomato,Local,4698.84,5014.42,4904.49
2025-10-22,Maharashtra,Ahmednagar,Pune,Sugarcane,Local,2994.86,3696.52,3414.35
2025-06-10,Maharashtra,Ahmednagar,Jalgaon,Sugarcane,Local,1746.76,2638.43,2176.79
2025-07-13,Maharashtra,Nashik,Pune,Maize,White,3147.09,4440.05,3837.58
2025-09-23,Maharashtra,Sangli,Nashik,Tomato,Hybrid,685.06,1811.57,1145.04
2025-03-24,Maharashtra,Ahmednagar,Sangli,Maize,White,1356.48,2587.07,1856.45
2025-06-17,Maharashtra,Pune,Lasalgaon,Maize,White,3414.92,4187.68,3643.15
2025-11-25,Maharashtra,Ahmednagar,Solapur,Onion,Red,1546.22,2335.28,1710.34
2025-05-23,Maharashtra,Dhule,Sangli,Potato,Local,2108.11,3318.32,2569.32
2025-02-12,Maharashtra,Dhule,Solapur,Tomato,Local,1039.72,2334.52,1658.65
2025-12-10,Maharashtra,Nashik,Jalgaon,Cotton,Long Staple,1788.81,3105.08,2241.23
2025-01-12,Maharashtra,Pune,Sangli,Sugarcane,Local,2051.25,3216.64,2416.92
2025-01-22,Maharashtra,Nashik,Nashik,Maize,Yellow,2618.68,3301.09,3065.6
2025-01-18,Maharashtra,Dhule,Lasalgaon,Tomato,Local,2317.58,3556.78,2698.84
2025-03-03,Maharashtra,Nashik,Nashik,Potato,Jyoti,3172.86,3621.33,3357.99
2025-07-08,Maharashtra,Satara,Pune,Onion,White,2425.83,3863.56,2970.55
2025-03-20,Maharashtra,Aurangabad,Lasalgaon,Rice,Non-Basmati,1840.34,2921.23,2260.17
2025-06-16,Maharashtra,Dhule,Ahmednagar,Rice,Non-Basmati,1429.26,2370.88,1768.86
2025-05-30,Maharashtra,Dhule,Ahmednagar,Rice,Basmati,966.71,1761.95,1402.5
2025-08-11,Maharashtra,Kolhapur,Sangli,Tomato,Local,100.0,506.49,300.0
2025-04-15,Maharashtra,Dhule,Kolhapur,Chickpea,Kabuli,2005.12,2562.83,2361.89
2025-09-11,Maharashtra,Dhule,Jalgaon,Tomato,Local,654.87,1921.6,1128.34
2025-01-07,Maharashtra,Aurangabad,Nashik,Tomato,Hybrid,1212.91,1894.58,1448.63
2025-06-12,Maharashtra,Ahmednagar,Solapur,Wheat,Sharbati,1589.96,2687.24,2139.36
2025-10-17,Maharashtra,Pune,Nashik,Potato,Jyoti,1462.11,2720.18,1874.71
2025-07-14,Maharashtra,Solapur,Nashik,Potato,Local,2540.11,3461.41,3157.13
2025-11-15,Maharashtra,Sangli,Sangli,Tomato,Local,1691.71,3011.2,2300.05
2025-05-10,Maharashtra,Pune,Sangli,Wheat,Sharbati,4055.45,4928.53,4452.16
2025-04-19,Maharashtra,Dhule,Pune,Soybean,Bold,4915.59,5403.07,5132.87
2025-08-07,Maharashtra,Dhule,Jalgaon,Cotton,Medium Staple,1590.69,2915.05,2132.67
2025-11-15,Maharashtra,Solapur,Kolhapur,Chickpea,Desi,1132.4,2127.57,1483.61
2025-05-10,Maharashtra,Sangli,Lasalgaon,Soybean,Yellow,100.0,560.05,384.11
2025-09-01,Maharashtra,Sangli,Nashik,Tomato,Local,4529.01,5226.77,4693.37
2025-11-03,Maharashtra,Sangli,Solapur,Wheat,Sharbati,1152.33,2412.69,1631.28
2025-10-24,Maharashtra,Jalgaon,Ahmednagar,Chickpea,Desi,1527.53,2005.21,1851.66
2025-03-26,Maharashtra,Jalgaon,Ahmednagar,Sugarcane,Local,1359.91,2093.44,1660.42
2025-09-12,Maharashtra,Solapur,Sangli,Wheat,Lokwan,1420.05,2852.17,2108.0
2025-11-23,Maharashtra,Nashik,Sangli,Rice,Non-Basmati,1568.21,2714.35,1927.67
2025-08-25,Maharashtra,Dhule,Pune,Cotton,Medium Staple,2985.33,4212.45,3492.15
2025-01-01,Maharashtra,Nashik,Lasalgaon,Soybean,Yellow,100.0,644.57,300.0
2025-09-22,Maharashtra,Kolhapur,Ahmednagar,Wheat,Sharbati,2112.26,2780.39,2274.84
2025-07-13,Maharashtra,Solapur,Pune,Potato,Local,2812.84,4054.61,3361.59
2025-12-30,Maharashtra,Nashik,Sangli,Maize,White,1377.63,1893.6,1671.53
2025-12-23,Maharashtra,Solapur,Jalgaon,Cotton,Long Staple,2626.62,3781.98,3205.99
2025-05-02,Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,2142.82,3283.7,2607.4
2025-12-30,Maharashtra,Dhule,Kolhapur,Sugarcane,Local,1348.39,2418.64,1638.64
2025-01-04,Maharashtra,Pune,Solapur,Tomato,Hybrid,100.0,514.69,325.35
2025-05-29,Maharashtra,Jalgaon,Pune,Tomato,Local,2448.93,3351.58,2987.84
2025-03-02,Maharashtra,Sangli,Jalgaon,Cotton,Medium Staple,2451.93,3415.29,2881.97
2025-10-09,Maharashtra,Dhule,Nashik,Maize,Yellow,1110.24,2272.09,1611.25
2025-04-27,Maharashtra,Pune,Sangli,Potato,Local,3216.87,4095.89,3411.86
2025-06-21,Maharashtra,Pune,Sangli,Wheat,Lokwan,1345.74,2220.53,1917.93
2025-11-30,Maharashtra,Solapur,Pune,Potato,Local,3449.09,3852.42,3741.32
2025-08-26,Maharashtra,Solapur,Solapur,Tomato,Hybrid,2391.69,3518.66,2863.6
2025-05-18,Maharashtra,Ahmednagar,Pune,Wheat,Sharbati,4107.19,5103.3,4276.0
2025-08-06,Maharashtra,Sangli,Jalgaon,Tomato,Local,2642.76,3673.63,2935.62
2025-03-23,Maharashtra,Pune,Solapur,Sugarcane,Local,2044.31,3131.6,2533.63
2025-08-07,Maharashtra,Nashik,Sangli,Potato,Jyoti,100.0,1182.06,300.0
2025-12-03,Maharashtra,Solapur,Kolhapur,Maize,Yellow,1936.22,3010.9,2564.41
2025-07-21,Maharashtra,Satara,Jalgaon,Cotton,Medium Staple,1716.19,2732.97,2212.93
2025-03-16,Maharashtra,Satara,Pune,Tomato,Local,3816.03,4548.02,4438.2
2025-02-16,Maharashtra,Pune,Lasalgaon,Sugarcane,Local,2418.93,3612.92,2756.16
2025-12-10,Maharashtra,Satara,Ahmednagar,Sugarcane,Local,3318.62,4005.69,3439.01
2025-12-05,Maharashtra,Solapur,Pune,Potato,Local,3738.98,4597.31,4184.67
2025-08-24,Maharashtra,Aurangabad,Pune,Sugarcane,Local,3803.91,4243.08,4107.43
