sample_date,state,district,soil_type,ph,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,moisture_pct
2024-08-13,Maharashtra,Dhule,Red,5.54,0.44,270.63,23.37,165.13,37.38
2024-12-25,Maharashtra,Ahmednagar,Loamy,5.94,0.28,298.52,13.2,91.11,32.84
2025-03-05,Maharashtra,Dhule,Alluvial,5.19,0.89,217.19,29.44,265.85,44.32
2024-01-15,Maharashtra,Satara,Black,8.06,0.66,395.24,28.8,349.63,39.21
2025-07-13,Maharashtra,Solapur,Black,7.03,0.88,193.03,22.85,133.9,23.94
2025-10-12,Maharashtra,Kolhapur,Alluvial,7.26,0.55,282.68,10.23,285.77,41.04
2025-06-29,Maharashtra,Sangli,Loamy,7.01,0.59,327.87,17.75,344.53,10.0
2025-02-17,Maharashtra,Sangli,Red,7.2,0.83,253.82,30.38,259.73,42.97
2024-12-20,Maharashtra,Jalgaon,Red,6.85,0.83,244.92,35.27,98.93,21.09
2025-04-01,Maharashtra,Ahmednagar,Loamy,6.99,0.85,145.69,18.73,298.62,36.85
2025-12-22,Maharashtra,Aurangabad,Black,6.88,0.58,368.59,19.5,254.54,23.66
2025-06-14,Maharashtra,Solapur,Alluvial,6.37,0.8,246.41,20.38,244.35,38.03
2024-07-14,Maharashtra,Sangli,Alluvial,6.77,0.93,302.99,24.75,205.32,44.94
2024-04-24,Maharashtra,Nashik,Loamy,6.99,0.62,313.82,16.19,268.68,56.03
2025-02-20,Maharashtra,Kolhapur,Red,6.88,0.52,209.74,5.0,310.98,19.5
2024-12-17,Maharashtra,Dhule,Red,5.77,0.99,244.2,33.93,499.06,49.71
2024-03-15,Maharashtra,Satara,Red,5.86,0.49,366.76,39.95,271.23,39.57
2025-10-23,Maharashtra,Jalgaon,Alluvial,7.56,0.81,170.62,15.88,411.11,32.59
2024-02-05,Maharashtra,Ahmednagar,Black,,0.64,430.23,11.33,295.78,47.12
2024-08-29,Maharashtra,Pune,Alluvial,7.21,0.19,200.41,20.63,250.05,35.17
2025-10-24,Maharashtra,Sangli,Loamy,6.04,0.93,165.64,20.12,274.85,46.61
2024-03-03,Maharashtra,Jalgaon,Alluvial,5.77,0.1,270.58,31.96,137.83,26.09
2025-10-27,Maharashtra,Nashik,Loamy,6.21,0.15,436.67,22.55,290.59,30.4
2025-05-23,Maharashtra,Nashik,Alluvial,6.64,0.78,107.12,14.07,60.79,49.32
2024-07-06,Maharashtra,Aurangabad,Black,6.33,0.78,248.72,8.82,173.73,55.82
2024-04-02,Maharashtra,Ahmednagar,Loamy,7.71,0.49,298.1,30.66,270.98,37.58
2024-01-05,Maharashtra,Aurangabad,Red,6.93,0.69,262.69,28.0,379.4,10.0
2025-03-13,Maharashtra,Ahmednagar,Red,8.09,0.1,290.55,32.61,403.06,35.61
2024-06-14,Maharashtra,Sangli,Alluvial,7.08,0.83,202.56,12.32,236.35,38.39
2025-03-21,Maharashtra,Solapur,Alluvial,5.11,0.71,212.02,40.38,275.57,35.21
2024-01-25,Maharashtra,Satara,Black,7.54,0.64,248.13,5.0,358.44,42.04
2025-05-22,Maharashtra,Dhule,Black,5.74,0.66,169.61,29.1,127.05,32.28
2024-04-07,Maharashtra,Dhule,Red,6.96,0.77,256.43,5.0,300.47,48.07
2024-09-24,Maharashtra,Solapur,Alluvial,6.26,0.64,228.9,14.1,177.21,24.0
2025-10-23,Maharashtra,Nashik,Loamy,,0.18,222.4,37.61,242.82,52.84
2025-01-27,Maharashtra,Kolhapur,Black,7.81,1.2,285.64,30.31,214.1,56.6
2025-08-18,Maharashtra,Satara,Loamy,6.28,0.95,114.35,16.54,303.54,27.04
2024-10-11,Maharashtra,Sangli,Loamy,6.71,0.33,241.67,16.81,315.03,27.04
2025-11-14,Maharashtra,Solapur,Black,6.97,0.56,445.39,23.01,349.11,42.93
2024-04-18,Maharashtra,Satara,Alluvial,7.4,0.59,173.11,27.14,294.82,23.75
2024-01-27,Maharashtra,Dhule,Loamy,6.82,0.92,362.84,34.52,277.17,32.09
2024-02-24,Maharashtra,Satara,Alluvial,6.08,0.11,264.37,17.44,445.4,51.23
2024-05-12,Maharashtra,Ahmednagar,Loamy,6.3,0.53,211.76,5.88,107.56,46.85
2024-02-21,Maharashtra,Jalgaon,Alluvial,6.8,0.21,154.35,23.57,429.56,61.76
2025-05-07,Maharashtra,Ahmednagar,Alluvial,7.66,0.58,271.17,17.43,231.02,40.05
2024-10-24,Maharashtra,Solapur,Alluvial,7.1,0.53,376.27,8.99,317.09,30.67
2025-02-02,Maharashtra,Sangli,Alluvial,6.26,0.67,228.86,24.98,227.43,38.61
2025-08-13,Maharashtra,Pune,Black,7.25,0.5,253.52,19.87,189.75,36.19
2024-01-18,Maharashtra,Aurangabad,Loamy,6.53,0.46,340.83,25.07,308.46,36.36
2025-09-10,Maharashtra,Aurangabad,Alluvial,7.42,0.8,287.27,13.06,364.21,37.71
2025-07-12,Maharashtra,Pune,Red,8.5,0.76,134.22,26.87,307.3,26.82
2024-09-02,Maharashtra,Satara,Loamy,6.55,0.79,267.91,8.83,205.79,41.39
2025-05-17,Maharashtra,Pune,Loamy,7.36,0.61,380.98,13.72,600.0,21.1
2024-03-29,Maharashtra,Aurangabad,Alluvial,6.28,0.51,257.04,19.57,379.86,29.4
2024-07-21,Maharashtra,Nashik,Loamy,6.72,0.62,80.0,39.42,353.33,36.57
2024-08-27,Maharashtra,Dhule,Red,6.82,0.78,291.06,29.85,224.7,10.89
2025-05-04,Maharashtra,Aurangabad,Red,6.66,0.11,244.12,32.77,197.48,47.23
2024-01-13,Maharashtra,Aurangabad,Red,8.5,0.75,113.67,36.17,232.02,13.36
2025-10-10,Maharashtra,Nashik,Loamy,6.59,0.73,125.66,58.03,368.14,46.04
2024-11-10,Maharashtra,Aurangabad,Loamy,7.21,0.67,338.01,22.42,160.94,22.49
2025-11-15,Maharashtra,Satara,Alluvial,5.45,0.61,201.41,36.2,153.18,33.14
2024-07-16,Maharashtra,Nashik,Loamy,7.1,0.1,,32.13,313.95,44.23
2024-08-30,Maharashtra,Dhule,Loamy,7.6,0.54,257.15,31.96,291.92,64.38
2025-05-21,Maharashtra,Sangli,Alluvial,6.43,1.1,208.46,39.74,182.97,39.4
2024-02-12,Maharashtra,Ahmednagar,Red,5.04,0.65,268.0,17.81,150.88,14.21
2024-11-25,Maharashtra,Sangli,Alluvial,6.77,0.57,243.78,17.01,403.79,49.44
2025-08-13,Maharashtra,Nashik,Black,6.81,0.65,164.0,25.2,295.7,35.22
2025-03-04,Maharashtra,Nashik,Loamy,7.31,0.74,219.1,20.17,123.65,38.84
2025-09-04,Maharashtra,Solapur,Loamy,8.21,0.81,295.42,25.19,130.64,44.69
2024-06-10,Maharashtra,Jalgaon,Black,6.53,0.59,263.35,37.63,223.85,11.3
2025-10-17,Maharashtra,Jalgaon,Black,6.2,0.76,253.44,17.22,333.28,38.08
2025-09-12,Maharashtra,Nashik,Black,5.98,1.07,414.99,18.95,319.5,33.08
2025-03-10,Maharashtra,Ahmednagar,Alluvial,6.94,0.9,318.48,23.74,373.17,52.66
2024-08-20,Maharashtra,Solapur,Red,7.14,1.24,328.2,19.72,110.97,46.73
2024-04-20,Maharashtra,Pune,Alluvial,6.42,0.49,246.72,5.0,282.38,18.48
2024-08-19,Maharashtra,Kolhapur,Black,7.35,1.07,277.61,16.2,402.59,53.15
2025-12-09,Maharashtra,Ahmednagar,Alluvial,7.13,0.45,225.51,28.87,393.28,43.39
2024-09-29,Maharashtra,Nashik,Loamy,6.83,0.74,322.2,36.38,295.89,19.43
2025-08-20,Maharashtra,Nashik,Alluvial,6.17,0.83,251.17,10.45,494.8,38.67
2024-02-10,Maharashtra,Ahmednagar,Black,6.46,0.52,277.79,10.41,320.93,50.42
2025-07-13,Maharashtra,Satara,Loamy,5.1,0.67,272.85,22.3,364.27,23.43
2025-04-10,Maharashtra,Solapur,Red,6.97,0.88,258.55,5.0,264.44,54.53
2024-03-17,Maharashtra,Nashik,Alluvial,6.82,0.47,495.06,17.55,181.9,19.85
2025-11-20,Maharashtra,Kolhapur,Alluvial,6.93,1.07,206.67,5.0,172.48,28.51
2025-05-04,Maharashtra,Pune,Black,7.15,0.3,205.94,35.69,278.16,26.69
2024-04-26,Maharashtra,Sangli,Red,7.07,1.13,315.53,14.31,238.85,54.52
2025-03-09,Maharashtra,Dhule,Loamy,,0.9,212.39,38.53,83.14,32.11
2024-01-19,Maharashtra,Kolhapur,Black,6.83,0.63,236.69,33.14,157.42,24.05
2025-07-24,Maharashtra,Dhule,Black,5.82,0.55,173.09,15.54,228.16,43.34
2024-07-14,Maharashtra,Aurangabad,Alluvial,6.39,0.52,299.32,11.28,332.73,45.93
2025-09-10,Maharashtra,Satara,Red,6.84,0.62,300.34,20.06,258.39,46.01
2025-03-26,Maharashtra,Kolhapur,Black,6.28,0.64,234.78,20.95,252.79,34.74
2025-02-28,Maharashtra,Jalgaon,Alluvial,7.4,0.96,317.19,25.46,161.31,41.05
2025-01-28,Maharashtra,Satara,Loamy,6.34,1.14,111.35,14.23,262.32,30.2
2024-10-10,Maharashtra,Jalgaon,Black,6.95,0.7,203.45,29.46,391.91,58.1
2024-02-03,Maharashtra,Pune,Loamy,6.88,0.44,246.4,24.65,275.56,51.73
2024-10-21,Maharashtra,Pune,Loamy,7.32,0.51,166.22,18.6,109.27,51.0
2024-09-07,Maharashtra,Pune,Alluvial,7.43,0.6,120.1,14.88,134.85,47.53
2025-09-29,Maharashtra,Satara,Red,7.29,0.39,235.37,20.15,318.88,44.24
2024-12-04,Maharashtra,Pune,Loamy,5.33,0.36,315.52,13.83,237.57,23.07
2025-09-09,Maharashtra,Ahmednagar,Black,7.64,1.17,362.57,22.58,252.54,45.6
2025-03-15,Maharashtra,Dhule,Red,7.87,0.73,216.22,22.85,198.73,39.37
2024-06-28,Maharashtra,Dhule,Red,6.46,0.44,318.66,24.62,310.34,53.16
2025-09-13,Maharashtra,Solapur,Alluvial,6.97,0.85,310.92,39.66,229.91,47.69
2024-08-15,Maharashtra,Jalgaon,Black,6.18,0.36,357.49,20.68,241.34,44.6
2025-09-24,Maharashtra,Dhule,Black,5.44,0.38,231.98,32.05,174.88,17.79
2025-09-10,Maharashtra,Nashik,Alluvial,6.28,0.45,116.12,24.3,352.17,36.93
2025-10-04,Maharashtra,Dhule,Alluvial,6.42,1.06,265.61,19.62,237.89,31.31
2024-01-23,Maharashtra,Nashik,Red,6.55,0.59,178.9,20.81,320.79,41.03
2025-10-18,Maharashtra,Solapur,Loamy,6.13,0.1,202.12,21.41,140.64,33.01
2024-11-22,Maharashtra,Aurangabad,Loamy,6.29,0.95,235.9,24.8,433.39,34.69
2024-06-02,Maharashtra,Satara,Loamy,6.79,0.57,232.89,12.41,387.74,43.51
2025-09-10,Maharashtra,Kolhapur,Loamy,6.26,0.19,271.32,7.35,69.02,32.81
2024-05-25,Maharashtra,Aurangabad,Black,7.18,0.57,316.25,28.54,179.81,39.46
2024-09-08,Maharashtra,Solapur,Black,7.28,0.78,230.58,30.98,307.76,19.77
2024-10-28,Maharashtra,Dhule,Alluvial,8.47,0.75,291.66,29.46,128.03,28.01
2024-03-10,Maharashtra,Dhule,Alluvial,7.59,1.1,261.19,23.55,246.84,45.87
2025-06-26,Maharashtra,Jalgaon,Loamy,6.97,0.44,334.84,29.67,302.66,23.24
2024-04-02,Maharashtra,Satara,Alluvial,6.37,0.66,244.91,29.13,241.53,52.95
2025-10-10,Maharashtra,Solapur,Black,7.01,0.48,253.69,29.88,313.88,49.69
2024-06-11,Maharashtra,Pune,Loamy,7.03,0.26,230.05,13.4,190.67,34.78
2024-03-21,Maharashtra,Kolhapur,Loamy,6.44,0.87,247.02,11.03,50.0,73.98
2025-08-10,Maharashtra,Aurangabad,Black,7.35,0.77,197.32,18.11,358.21,52.92
2024-03-03,Maharashtra,Ahmednagar,Red,5.82,0.72,189.39,21.83,357.58,26.61
2025-09-03,Maharashtra,Ahmednagar,Loamy,6.63,0.76,322.06,19.58,510.36,46.95
2025-03-11,Maharashtra,Ahmednagar,Alluvial,7.19,0.48,173.34,5.0,50.0,38.79
2024-02-17,Maharashtra,Solapur,Red,6.6,0.4,234.47,39.22,335.08,28.68
2025-03-20,Maharashtra,Pune,Black,6.66,0.66,341.23,19.26,63.13,25.16
2024-03-14,Maharashtra,Sangli,Red,6.7,0.94,231.78,23.73,435.65,49.94
2025-12-04,Maharashtra,Ahmednagar,Red,6.22,1.05,326.3,34.45,308.79,30.82
2025-06-25,Maharashtra,Aurangabad,Loamy,7.62,0.85,212.72,5.0,164.81,36.78
2024-06-05,Maharashtra,Sangli,Red,6.09,0.66,175.91,16.88,338.02,26.95
2025-05-01,Maharashtra,Kolhapur,Alluvial,7.02,0.72,132.41,18.13,204.7,29.02
2024-09-22,Maharashtra,Jalgaon,Loamy,7.09,0.65,365.02,18.64,290.04,36.48
2024-09-12,Maharashtra,Pune,Black,6.14,0.39,169.05,20.27,280.6,42.66
2024-02-08,Maharashtra,Jalgaon,Alluvial,6.85,0.66,319.77,36.47,434.42,10.0
2024-02-24,Maharashtra,Aurangabad,Loamy,6.16,0.32,180.0,28.73,441.49,38.2
2024-01-28,Maharashtra,Satara,Red,7.77,0.62,365.39,31.58,200.27,29.05
2024-04-27,Maharashtra,Satara,Alluvial,6.0,1.06,436.54,22.47,365.81,54.83
2025-01-04,Maharashtra,Ahmednagar,Loamy,6.34,0.86,125.08,8.01,295.48,73.31
2024-07-27,Maharashtra,Aurangabad,Loamy,5.94,0.42,173.22,5.0,118.73,33.69
2025-08-09,Maharashtra,Jalgaon,Black,5.85,0.63,321.85,6.71,190.38,17.33
2025-07-30,Maharashtra,Solapur,Loamy,7.91,0.44,301.04,25.6,493.61,39.4
2025-09-03,Maharashtra,Sangli,Black,7.18,0.63,322.15,22.32,295.79,35.53
2025-07-11,Maharashtra,Ahmednagar,Red,6.9,0.91,214.1,19.9,359.98,61.66
2024-11-11,Maharashtra,Sangli,Loamy,6.34,0.81,419.0,18.31,238.8,58.0
2025-01-27,Maharashtra,Dhule,Loamy,7.44,1.27,269.44,42.12,206.01,48.38
2025-03-19,Maharashtra,Dhule,Red,6.22,0.95,162.64,13.77,262.73,30.96
2025-10-29,Maharashtra,Dhule,Loamy,7.36,0.7,239.75,31.28,233.39,46.13
2024-09-15,Maharashtra,Satara,Loamy,6.19,0.82,163.71,22.02,110.67,41.18
2025-10-09,Maharashtra,Nashik,Alluvial,6.35,0.6,387.28,21.39,159.67,40.9
2024-07-16,Maharashtra,Aurangabad,Black,7.33,0.37,207.17,33.77,330.79,19.3
2025-11-29,Maharashtra,Satara,Loamy,7.4,0.98,299.4,36.63,221.93,50.74
2025-09-19,Maharashtra,Aurangabad,Loamy,7.22,0.9,222.35,19.6,262.57,39.29
2025-03-20,Maharashtra,Kolhapur,Black,6.07,0.59,210.77,29.99,283.49,36.79
2025-07-23,Maharashtra,Jalgaon,Alluvial,6.49,0.72,107.18,25.64,291.31,30.8
2025-08-04,Maharashtra,Dhule,Black,6.91,0.96,307.85,22.07,374.66,28.48
2025-08-27,Maharashtra,Dhule,Loamy,6.21,0.86,363.93,24.04,150.13,41.81
2025-10-10,Maharashtra,Kolhapur,Red,7.76,0.28,186.72,15.12,317.03,17.01
2025-09-08,Maharashtra,Pune,Red,5.12,0.71,136.38,18.94,335.5,47.47
2024-10-31,Maharashtra,Nashik,Alluvial,6.25,0.61,324.27,16.19,358.59,25.35
2024-12-04,Maharashtra,Pune,Alluvial,6.44,0.93,128.3,31.01,118.71,13.3
2025-06-12,Maharashtra,Satara,Loamy,5.0,0.91,357.56,21.05,285.48,59.86
2024-02-23,Maharashtra,Pune,Alluvial,5.82,0.98,187.65,9.02,431.61,27.7
2024-04-21,Maharashtra,Aurangabad,Loamy,7.24,0.37,171.74,14.77,250.09,29.33
2025-11-14,Maharashtra,Solapur,Red,6.82,0.45,279.88,5.0,308.35,51.61
2025-02-22,Maharashtra,Aurangabad,Alluvial,7.9,0.93,176.95,17.06,338.04,60.25
2024-10-31,Maharashtra,Ahmednagar,Loamy,7.88,0.5,203.43,22.38,157.45,19.6
2025-03-13,Maharashtra,Satara,Black,7.1,0.27,288.32,20.64,443.38,26.53
2025-10-17,Maharashtra,Dhule,Alluvial,7.02,0.78,80.0,41.8,309.95,27.41
2024-03-25,Maharashtra,Satara,Loamy,6.85,0.51,391.39,27.75,311.95,49.22
2025-06-07,Maharashtra,Pune,Loamy,5.0,1.1,263.49,27.3,93.8,57.67
2024-09-08,Maharashtra,Sangli,Black,5.82,0.72,156.56,5.57,339.45,25.04
2025-12-28,Maharashtra,Satara,Red,6.87,0.69,178.62,18.35,310.64,54.98
2024-05-05,Maharashtra,Jalgaon,Black,7.23,0.56,339.33,17.13,422.42,29.49
2025-09-01,Maharashtra,Satara,Loamy,7.0,1.05,308.08,14.14,228.87,42.03
2025-02-08,Maharashtra,Aurangabad,Black,6.18,0.74,370.94,14.0,161.23,22.74
2024-10-30,Maharashtra,Sangli,Black,7.46,0.55,205.38,5.0,191.78,36.54
2024-01-28,Maharashtra,Nashik,Loamy,7.84,0.45,283.73,9.24,209.5,36.67
2024-09-22,Maharashtra,Aurangabad,Red,7.46,0.63,294.13,30.74,148.12,34.22
2024-02-21,Maharashtra,Sangli,Black,7.49,0.41,315.62,20.57,389.02,42.62
2025-10-16,Maharashtra,Sangli,Black,6.41,0.91,350.18,16.94,392.77,25.92
2025-10-05,Maharashtra,Satara,Alluvial,7.55,0.2,202.62,21.95,240.42,27.4
2025-05-25,Maharashtra,Kolhapur,Alluvial,6.9,0.62,250.87,33.67,220.72,43.25
2024-07-25,Maharashtra,Solapur,Loamy,7.16,0.8,211.19,22.04,78.45,54.1
2025-07-27,Maharashtra,Kolhapur,Loamy,7.06,0.74,255.79,27.4,329.6,37.73
2025-05-25,Maharashtra,Sangli,Loamy,6.71,0.47,315.87,13.53,425.34,44.04
2025-10-05,Maharashtra,Satara,Alluvial,6.2,0.82,127.68,15.81,196.28,47.1
2025-07-06,Maharashtra,Solapur,Loamy,6.74,0.43,348.75,25.54,248.32,47.97
2024-07-19,Maharashtra,Dhule,Black,7.49,0.64,168.87,40.93,303.43,26.56
2025-09-02,Maharashtra,Jalgaon,Black,6.49,0.81,235.41,36.3,432.44,28.68
2024-10-10,Maharashtra,Pune,Red,7.43,0.77,359.52,27.83,279.98,29.72
2024-12-22,Maharashtra,Solapur,Loamy,7.32,0.48,286.24,23.51,279.54,61.14
2024-02-16,Maharashtra,Dhule,Black,6.59,0.95,287.16,36.01,277.93,44.1
2024-05-16,Maharashtra,Dhule,Black,7.77,0.67,165.55,29.95,117.5,43.56
2024-05-09,Maharashtra,Jalgaon,Red,6.55,0.84,176.47,5.0,115.32,42.39
2024-07-13,Maharashtra,Ahmednagar,Black,7.86,1.03,335.3,11.46,179.2,22.15
2025-09-20,Maharashtra,Nashik,Red,7.1,0.93,212.87,25.38,361.29,61.26
2024-12-29,Maharashtra,Jalgaon,Red,6.79,0.93,220.41,5.0,226.46,43.75
2025-03-07,Maharashtra,Nashik,Alluvial,6.18,0.7,337.12,13.02,207.04,46.68
2024-03-09,Maharashtra,Ahmednagar,Black,6.74,0.85,176.01,15.0,205.28,16.81
2025-04-02,Maharashtra,Ahmednagar,Alluvial,6.66,0.7,281.54,19.44,246.23,47.36
2025-06-23,Maharashtra,Jalgaon,Black,5.92,0.35,263.43,19.13,430.21,33.73
2024-11-30,Maharashtra,Nashik,Alluvial,6.65,0.73,259.79,19.11,244.88,22.13
2025-06-09,Maharashtra,Kolhapur,Red,6.24,0.71,218.53,30.25,181.37,26.55
2025-07-11,Maharashtra,Pune,Red,7.21,0.8,213.61,19.35,262.52,22.82
2024-01-16,Maharashtra,Kolhapur,Red,7.71,0.62,173.73,18.15,435.51,22.62
2025-03-31,Maharashtra,Nashik,Red,5.94,0.46,298.61,8.51,209.72,38.73
2025-05-24,Maharashtra,Aurangabad,Black,8.0,0.81,206.55,32.24,141.9,33.36
2024-07-27,Maharashtra,Aurangabad,Loamy,6.71,0.32,337.5,15.29,209.9,42.01
2024-06-06,Maharashtra,Dhule,Black,6.12,1.01,242.04,11.13,272.88,58.11
2024-12-02,Maharashtra,Aurangabad,Alluvial,7.33,0.59,,24.13,328.82,36.45
2024-08-28,Maharashtra,Aurangabad,Black,6.49,0.71,240.97,14.33,360.69,11.06
2024-02-27,Maharashtra,Pune,Black,6.74,0.79,227.13,16.74,155.43,35.1
2024-10-31,Maharashtra,Ahmednagar,Alluvial,6.52,0.8,340.73,24.58,164.92,52.32
2024-12-10,Maharashtra,Dhule,Red,6.23,0.3,230.48,18.74,227.67,36.97
2025-10-03,Maharashtra,Ahmednagar,Alluvial,7.31,0.86,237.9,45.12,328.45,56.35
2025-12-29,Maharashtra,Nashik,Alluvial,6.6,0.73,372.92,21.25,134.0,43.44
2024-01-14,Maharashtra,Jalgaon,Loamy,5.79,0.49,300.66,28.18,199.27,15.94
2024-12-24,Maharashtra,Dhule,Loamy,7.19,0.46,393.02,5.0,200.73,39.31
2025-01-11,Maharashtra,Solapur,Red,5.96,0.57,360.72,13.39,354.17,41.56
2024-08-30,Maharashtra,Dhule,Alluvial,5.99,0.33,189.03,11.13,312.83,50.96
2024-05-24,Maharashtra,Sangli,Alluvial,7.63,1.08,339.2,12.46,350.37,59.84
2025-02-18,Maharashtra,Ahmednagar,Alluvial,5.96,1.02,382.02,26.16,393.87,48.89
2025-01-28,Maharashtra,Nashik,Black,5.18,0.76,382.63,32.36,229.43,43.29
2025-09-06,Maharashtra,Aurangabad,Loamy,7.24,0.59,339.05,25.45,141.26,46.11
2025-12-29,Maharashtra,Sangli,Loamy,6.59,0.6,337.4,19.73,141.9,35.98
2024-12-23,Maharashtra,Satara,Red,6.65,0.84,235.79,15.69,76.19,20.45
