state,district,year,crop,area_harvested_ha,production_tonnes,yield_kg_per_ha
Maharashtra,Jalgaon,2023,Wheat,21340.21,446871.68,5618.2
Maharashtra,Solapur,2019,Maize,9289.91,324620.99,4895.54
Maharashtra,Dhule,2020,Potato,8935.89,153752.42,2030.22
Maharashtra,Sangli,2018,Onion,5542.94,1426653.16,4013.36
Maharashtra,Satara,2025,Chickpea,29753.58,401799.0,3758.71
Maharashtra,Solapur,2019,Tomato,36991.14,9762.16,4586.56
Maharashtra,Sangli,2023,Rice,2936.55,1416441.24,5226.12
Maharashtra,Nashik,2025,Wheat,13850.04,867980.52,2467.64
Maharashtra,Ahmednagar,2023,Chickpea,32952.58,124678.04,4134.58
Maharashtra,Solapur,2020,Potato,19676.57,47617.26,4911.22
Maharashtra,Nashik,2021,Sugarcane,35262.83,162219.67,4346.12
Maharashtra,Ahmednagar,2022,Potato,37985.49,887440.53,5571.75
Maharashtra,Solapur,2023,Wheat,1711.47,93276.47,3220.78
Maharashtra,Jalgaon,2023,Onion,19104.9,852426.82,4914.52
Maharashtra,Ahmednagar,2024,Tomato,36484.03,978985.26,5503.58
Maharashtra,Ahmednagar,2022,Tomato,18982.96,221791.38,3563.79
Maharashtra,Solapur,2019,Sugarcane,391.08,732904.9,595.11
Maharashtra,Jalgaon,2021,Onion,16881.52,1445837.95,4999.05
Maharashtra,Jalgaon,2021,Chickpea,43645.37,1254814.43,5153.19
Maharashtra,Nashik,2024,Sugarcane,47601.75,1085184.84,2699.18
Maharashtra,Dhule,2020,Wheat,28069.78,776843.82,1759.93
Maharashtra,Aurangabad,2019,Sugarcane,15387.37,591715.0,5879.82
Maharashtra,Nashik,2024,Soybean,23356.61,677426.39,3533.93
Maharashtra,Pune,2021,Chickpea,11886.56,1147032.71,3338.99
Maharashtra,Aurangabad,2020,Rice,8489.47,831669.79,5703.41
Maharashtra,Sangli,2021,Maize,24727.41,1147098.65,2744.53
Maharashtra,Satara,2019,Sugarcane,36860.53,1454824.52,5164.75
Maharashtra,Pune,2021,Wheat,11200.99,960950.97,4353.58
Maharashtra,Aurangabad,2024,Chickpea,45485.91,904853.78,5822.43
Maharashtra,Sangli,2021,Sugarcane,8494.56,609539.84,2857.58
Maharashtra,Ahmednagar,2021,Onion,27964.74,295532.55,5491.94
Maharashtra,Kolhapur,2022,Soybean,38841.52,561614.01,3628.84
Maharashtra,Nashik,2018,Maize,10748.09,780385.74,3117.32
Maharashtra,Sangli,2019,Tomato,14892.58,52766.06,2181.15
Maharashtra,Ahmednagar,2025,Cotton,2669.06,713969.63,3539.84
Maharashtra,Pune,2025,Rice,47203.03,1293292.92,3649.04
Maharashtra,Ahmednagar,2025,Onion,24399.91,1464948.23,5441.15
Maharashtra,Aurangabad,2022,Maize,3308.88,1283395.23,4372.34
Maharashtra,Solapur,2025,Chickpea,41523.33,258386.63,5045.61
Maharashtra,Pune,2018,Soybean,28510.27,232942.28,4730.22
Maharashtra,Pune,2023,Onion,2858.71,590271.65,2021.56
Maharashtra,Ahmednagar,2021,Wheat,22599.74,338532.99,1631.89
Maharashtra,Pune,2021,Potato,21776.71,1014153.76,1921.65
Maharashtra,Satara,2024,Wheat,7389.48,127294.88,1306.19
Maharashtra,Pune,2022,Rice,21076.6,665857.01,2622.79
Maharashtra,Nashik,2020,Soybean,14212.07,420894.19,4096.45
Maharashtra,Dhule,2019,Onion,35027.1,893306.63,3453.38
Maharashtra,Aurangabad,2018,Maize,374.05,1195699.0,4235.68
Maharashtra,Solapur,2025,Rice,5408.16,1385382.93,2458.54
Maharashtra,Pune,2021,Rice,45940.58,1445797.17,1629.03
Maharashtra,Solapur,2025,Onion,21723.33,527116.2,1615.17
Maharashtra,Pune,2025,Wheat,8891.48,1283843.75,3804.74
Maharashtra,Sangli,2019,Rice,39682.0,888148.62,1403.62
Maharashtra,Kolhapur,2021,Soybean,42594.47,1038536.99,2684.42
Maharashtra,Satara,2021,Onion,10639.58,1276770.28,1670.58
Maharashtra,Pune,2021,Potato,35708.64,195604.76,4145.18
Maharashtra,Solapur,2024,Sugarcane,30795.27,1421137.2,3884.81
Maharashtra,Dhule,2019,Rice,37278.33,821321.94,2596.19
Maharashtra,Kolhapur,2022,Chickpea,39416.13,504336.97,1207.95
Maharashtra,Kolhapur,2019,Cotton,33080.7,508427.52,1664.99
Maharashtra,Solapur,2019,Onion,47815.23,1126625.0,3097.15
Maharashtra,Nashik,2023,Soybean,43224.9,1018150.46,5846.45
Maharashtra,Kolhapur,2025,Chickpea,11525.68,1094355.4,1989.26
Maharashtra,Satara,2020,Tomato,45686.93,379866.76,1551.55
Maharashtra,Dhule,2024,Wheat,18043.91,255709.23,1713.76
Maharashtra,Sangli,2020,Cotton,36354.44,1082928.55,4394.77
Maharashtra,Dhule,2024,Sugarcane,42415.71,448071.85,5530.76
Maharashtra,Aurangabad,2022,Sugarcane,21874.88,334043.01,913.44
Maharashtra,Dhule,2020,Tomato,2670.28,322305.45,4621.09
Maharashtra,Jalgaon,2025,Wheat,47488.11,223027.2,3220.34
Maharashtra,Nashik,2025,Soybean,3716.75,640510.08,5038.55
Maharashtra,Ahmednagar,2024,Potato,17470.67,391792.39,2818.28
Maharashtra,Satara,2022,Wheat,29862.72,1340851.28,528.69
Maharashtra,Solapur,2024,Sugarcane,5965.08,1033864.89,4255.38
Maharashtra,Dhule,2021,Tomato,41926.5,1115921.14,4943.84
Maharashtra,Aurangabad,2021,Cotton,10250.77,605713.93,5461.12
Maharashtra,Nashik,2025,Potato,49301.58,900514.17,3629.78
Maharashtra,Sangli,2019,Potato,45830.03,751446.36,1171.27
Maharashtra,Solapur,2021,Tomato,30267.35,251593.47,2534.09
Maharashtra,Nashik,2020,Onion,33034.5,72256.62,4813.38
Maharashtra,Aurangabad,2025,Maize,26726.96,1025435.92,3219.27
Maharashtra,Satara,2018,Soybean,19616.09,182198.1,4345.84
Maharashtra,Aurangabad,2019,Potato,17650.23,86495.06,525.79
Maharashtra,Ahmednagar,2022,Wheat,44593.58,663080.07,901.51
Maharashtra,Sangli,2021,Maize,28873.32,1107170.54,4246.4
Maharashtra,Satara,2019,Chickpea,41182.36,1153418.22,2096.11
Maharashtra,Solapur,2019,Sugarcane,25752.15,1310267.68,2635.03
Maharashtra,Aurangabad,2019,Wheat,15420.54,299221.43,4031.73
Maharashtra,Aurangabad,2021,Tomato,4678.8,1478443.78,1116.08
Maharashtra,Satara,2022,Maize,16252.47,1144932.0,5079.9
Maharashtra,Kolhapur,2025,Sugarcane,44017.86,236241.41,1294.39
Maharashtra,Pune,2019,Cotton,35626.86,1261161.57,4533.05
Maharashtra,Kolhapur,2025,Onion,39312.91,748689.43,2110.13
Maharashtra,Kolhapur,2019,Cotton,38694.37,100286.28,1929.84
Maharashtra,Pune,2019,Wheat,6086.62,198496.64,5016.96
Maharashtra,Ahmednagar,2023,Tomato,8027.14,651122.98,3537.11
Maharashtra,Ahmednagar,2025,Rice,15930.24,795994.96,1630.24
Maharashtra,Nashik,2021,Rice,15121.34,1421264.88,514.0
Maharashtra,Nashik,2023,Onion,3397.44,323960.85,5851.69
Maharashtra,Aurangabad,2020,Wheat,7758.23,711419.71,2872.62
Maharashtra,Satara,2022,Potato,42825.89,339221.26,2685.83
Maharashtra,Jalgaon,2019,Onion,29493.34,837821.83,776.73
Maharashtra,Jalgaon,2023,Cotton,17179.92,1364022.45,5419.22
Maharashtra,Nashik,2019,Tomato,26371.25,851841.98,1273.23
Maharashtra,Kolhapur,2023,Soybean,13139.54,765350.77,2345.01
Maharashtra,Satara,2019,Sugarcane,29233.73,1125319.05,2816.07
Maharashtra,Solapur,2024,Wheat,3824.08,221846.51,4955.58
Maharashtra,Ahmednagar,2021,Onion,45142.27,1358469.68,2477.07
Maharashtra,Jalgaon,2020,Maize,12098.28,866662.14,3423.04
Maharashtra,Aurangabad,2019,Maize,40971.87,1029620.97,2858.02
Maharashtra,Sangli,2023,Potato,33033.94,1228531.66,2215.15
Maharashtra,Dhule,2019,Wheat,26198.05,952739.26,5704.67
Maharashtra,Solapur,2021,Tomato,46496.84,961987.18,
Maharashtra,Solapur,2022,Wheat,7924.98,1094567.35,1458.94
Maharashtra,Satara,2022,Maize,6051.95,78828.72,3550.88
Maharashtra,Satara,2020,Rice,16160.82,573624.66,4881.08
Maharashtra,Ahmednagar,2024,Tomato,41528.04,1444423.65,3688.84
Maharashtra,Pune,2022,Tomato,1856.55,387274.81,3215.79
Maharashtra,Jalgaon,2019,Tomato,12046.34,813612.04,896.33
Maharashtra,Pune,2021,Cotton,21292.64,263553.48,1083.37
Maharashtra,Jalgaon,2024,Sugarcane,35675.76,485249.84,1848.82
Maharashtra,Dhule,2025,Rice,15035.72,1075761.52,3323.68
Maharashtra,Aurangabad,2019,Onion,22460.81,964819.49,5930.13
Maharashtra,Kolhapur,2019,Sugarcane,16908.84,621767.38,4912.46
Maharashtra,Sangli,2020,Wheat,4693.81,1407145.25,1105.28
Maharashtra,Ahmednagar,2022,Maize,36959.93,1162682.7,4444.93
Maharashtra,Pune,2022,Rice,23122.83,402251.78,4957.59
Maharashtra,Dhule,2022,Chickpea,40644.35,698436.75,2778.45
Maharashtra,Pune,2023,Soybean,34765.18,1317112.74,2315.81
Maharashtra,Dhule,2019,Maize,2984.98,34184.94,3715.38
Maharashtra,Sangli,2021,Chickpea,25053.79,872408.69,3355.34
Maharashtra,Jalgaon,2021,Onion,49543.7,348324.64,1958.67
Maharashtra,Solapur,2025,Sugarcane,15462.73,96198.27,2685.58
Maharashtra,Dhule,2019,Tomato,24698.61,1369335.19,3494.41
Maharashtra,Kolhapur,2018,Cotton,32636.42,1224516.39,3689.58
Maharashtra,Dhule,2019,Potato,10193.05,278347.69,3424.62
Maharashtra,Sangli,2025,Maize,35155.11,1255501.26,5153.59
Maharashtra,Pune,2025,Wheat,33022.86,220067.9,674.6
Maharashtra,Kolhapur,2025,Maize,18810.53,714503.96,2331.41
Maharashtra,Ahmednagar,2025,Tomato,14293.52,1088797.06,4624.08
Maharashtra,Aurangabad,2024,Potato,45963.22,800941.49,4084.8
Maharashtra,Aurangabad,2025,Chickpea,6438.48,1276245.68,5550.47
Maharashtra,Aurangabad,2023,Cotton,21658.34,925508.35,3734.12
Maharashtra,Aurangabad,2024,Onion,38372.48,648211.49,4009.83
Maharashtra,Pune,2022,Maize,7492.04,1387780.55,4377.21
Maharashtra,Ahmednagar,2019,Wheat,46653.08,-100.0,1524.1
Maharashtra,Solapur,2023,Chickpea,26360.0,732854.09,4642.84
Maharashtra,Aurangabad,2018,Wheat,25290.3,991341.92,2149.39
Maharashtra,Kolhapur,2019,Maize,21271.44,1254169.56,2834.76
Maharashtra,Aurangabad,2024,Sugarcane,43385.76,811964.21,577.04
Maharashtra,Nashik,2022,Potato,47427.23,1328333.82,5139.61
Maharashtra,Satara,2020,Chickpea,19065.39,639702.12,5744.21
Maharashtra,Satara,2021,Sugarcane,27165.44,476034.31,831.05
Maharashtra,Dhule,2018,Soybean,15839.61,1460731.17,3993.6
Maharashtra,Pune,2020,Tomato,18464.04,1000937.85,5784.28
Maharashtra,Pune,2021,Cotton,1513.84,638954.39,3837.95
Maharashtra,Nashik,2020,Maize,39318.18,1317345.51,4888.73
Maharashtra,Ahmednagar,2024,Sugarcane,48469.72,1024779.08,1149.71
Maharashtra,Kolhapur,2019,Potato,38499.37,957083.09,1846.67
Maharashtra,Dhule,2025,Sugarcane,25958.75,1092942.63,2401.54
Maharashtra,Kolhapur,2019,Soybean,41392.75,1107570.52,5896.42
Maharashtra,Jalgaon,2021,Rice,42908.16,739728.59,4799.78
Maharashtra,Dhule,2021,Cotton,27271.68,629251.69,5371.15
Maharashtra,Dhule,2019,Wheat,46864.16,1363969.38,3178.92
Maharashtra,Pune,2019,Tomato,1605.49,746122.99,4442.43
Maharashtra,Nashik,2023,Tomato,603.79,324124.55,4523.61
Maharashtra,Satara,2021,Chickpea,4164.82,782643.38,3629.08
Maharashtra,Kolhapur,2021,Cotton,2987.1,52115.94,5328.83
Maharashtra,Satara,2025,Soybean,21288.09,1085115.87,1370.38
Maharashtra,Kolhapur,2025,Wheat,47022.02,190912.6,816.36
Maharashtra,Dhule,2025,Cotton,33793.66,168030.54,2172.31
Maharashtra,Pune,2025,Cotton,33006.7,1419561.04,985.49
Maharashtra,Nashik,2024,Soybean,19305.81,1158948.74,831.74
Maharashtra,Aurangabad,2023,Rice,26734.95,621636.05,2804.99
Maharashtra,Dhule,2021,Rice,15278.32,359744.43,1602.78
Maharashtra,Dhule,2024,Rice,25940.1,1265313.98,4845.81
Maharashtra,Dhule,2022,Chickpea,37358.38,1452891.47,3688.81
Maharashtra,Aurangabad,2024,Rice,27978.75,762776.98,2483.26
Maharashtra,Kolhapur,2023,Sugarcane,21001.7,870324.07,2075.99
Maharashtra,Pune,2022,Rice,42261.61,364958.71,3597.26
Maharashtra,Solapur,2025,Chickpea,14443.4,884080.77,2887.01
Maharashtra,Jalgaon,2019,Wheat,24126.2,601196.15,806.54
Maharashtra,Dhule,2022,Rice,48909.55,1268444.96,4158.55
Maharashtra,Solapur,2024,Soybean,48369.35,565980.97,3248.67
Maharashtra,Dhule,2018,Sugarcane,413.6,973344.33,2022.95
Maharashtra,Aurangabad,2019,Tomato,26658.45,305597.29,2097.28
Maharashtra,Satara,2018,Sugarcane,16912.27,136463.92,2990.32
Maharashtra,Jalgaon,2020,Chickpea,14632.07,61012.65,5051.76
Maharashtra,Nashik,2018,Maize,29852.98,623760.33,2826.78
Maharashtra,Satara,2020,Wheat,22370.59,245711.32,5117.69
Maharashtra,Solapur,2018,Rice,36668.82,1490223.55,2836.75
Maharashtra,Ahmednagar,2024,Cotton,1454.0,1197675.89,5064.52
Maharashtra,Sangli,2024,Wheat,46351.85,1040213.04,5623.41
Maharashtra,Aurangabad,2020,Chickpea,28422.91,1205076.04,613.16
Maharashtra,Dhule,2025,Cotton,34234.93,394489.51,842.38
Maharashtra,Aurangabad,2020,Maize,30268.87,1318956.34,1237.11
Maharashtra,Satara,2019,Maize,49457.67,1493456.77,1171.66
Maharashtra,Nashik,2024,Chickpea,49316.29,435136.78,2999.63
Maharashtra,Satara,2021,Tomato,30533.58,1476980.71,4702.19
Maharashtra,Kolhapur,2021,Tomato,34229.77,480934.62,5787.31
Maharashtra,Satara,2019,Maize,30966.64,18078.81,2797.79
Maharashtra,Ahmednagar,2020,Tomato,15602.98,551137.48,4286.65
Maharashtra,Jalgaon,2021,Soybean,9711.42,1496273.74,3995.29
Maharashtra,Aurangabad,2021,Potato,20197.88,952909.31,2662.51
Maharashtra,Aurangabad,2018,Cotton,34169.57,1043361.07,4466.18
Maharashtra,Solapur,2022,Onion,2893.27,357901.55,3755.73
Maharashtra,Sangli,2019,Sugarcane,25763.83,219307.18,4679.67
Maharashtra,Sangli,2022,Potato,20479.03,1328322.9,1565.07
Maharashtra,Ahmednagar,2020,Tomato,26421.49,620381.61,2481.49
Maharashtra,Pune,2018,Cotton,43025.31,6659.32,4191.72
Maharashtra,Dhule,2021,Rice,2475.75,441721.81,1186.42
Maharashtra,Kolhapur,2023,Onion,38204.84,294000.3,4737.19
Maharashtra,Sangli,2018,Onion,33378.8,905856.5,1233.92
Maharashtra,Nashik,2019,Rice,10272.01,1134306.69,2284.5
Maharashtra,Aurangabad,2024,Tomato,36735.77,746499.0,1806.41
Maharashtra,Nashik,2020,Cotton,24868.96,279255.59,835.42
Maharashtra,Dhule,2018,Onion,24103.14,87417.71,1988.61
Maharashtra,Solapur,2018,Potato,24205.22,470644.24,5513.31
Maharashtra,Solapur,2018,Sugarcane,47466.78,1209042.07,648.11
Maharashtra,Jalgaon,2021,Chickpea,47223.79,629560.55,592.56
Maharashtra,Pune,2020,Chickpea,45689.04,378750.53,4373.47
Maharashtra,Sangli,2021,Potato,44348.43,31576.8,2517.78
Maharashtra,Satara,2018,Sugarcane,1975.65,744345.05,1763.58
Maharashtra,Satara,2024,Soybean,20089.69,1027390.75,3298.8
Maharashtra,Aurangabad,2021,Maize,44754.37,285899.03,1966.72
Maharashtra,Ahmednagar,2021,Onion,37780.82,806014.66,2656.1
Maharashtra,Aurangabad,2019,Potato,22887.32,631397.72,4434.35
Maharashtra,Satara,2025,Rice,38685.33,1056069.54,1142.99
Maharashtra,Aurangabad,2022,Chickpea,10488.47,1290977.05,5778.11
Maharashtra,Aurangabad,2022,Tomato,30029.98,460919.8,733.91
Maharashtra,Sangli,2025,Sugarcane,26696.61,1357204.23,4935.96
Maharashtra,Dhule,2019,Cotton,28720.0,1060574.22,4485.25
Maharashtra,Solapur,2019,Sugarcane,36117.59,56230.59,2051.49
Maharashtra,Aurangabad,2023,Maize,47495.12,1186968.72,1150.78
Maharashtra,Aurangabad,2025,Chickpea,13274.19,742193.28,5188.06
Maharashtra,Ahmednagar,2021,Onion,37926.73,1418218.61,4237.86
Maharashtra,Satara,2023,Sugarcane,32292.53,485785.43,2099.85
Maharashtra,Aurangabad,2021,Potato,34787.74,887024.88,593.11
Maharashtra,Jalgaon,2020,Sugarcane,21503.09,1434241.2,5661.7
Maharashtra,Dhule,2022,Potato,47234.47,407104.02,2723.39
Maharashtra,Aurangabad,2021,Maize,24034.85,708194.34,1469.47
Maharashtra,Dhule,2020,Cotton,6167.43,1128866.98,5515.09
Maharashtra,Ahmednagar,2025,Sugarcane,34066.58,1036802.48,2474.61
Maharashtra,Nashik,2024,Rice,6530.57,1258135.55,3047.88
Maharashtra,Ahmednagar,2023,Chickpea,16201.48,779935.12,4342.4
Maharashtra,Ahmednagar,2022,Onion,11477.48,478722.33,5006.8
Maharashtra,Satara,2025,Tomato,26992.83,802859.37,1050.98
Maharashtra,Ahmednagar,2020,Chickpea,17440.44,525265.07,5442.71
Maharashtra,Pune,2020,Sugarcane,8076.68,265057.59,5628.97
Maharashtra,Jalgaon,2019,Potato,39561.64,832677.07,1925.98
Maharashtra,Satara,2018,Rice,23477.73,73046.64,3235.63
Maharashtra,Sangli,2018,Chickpea,22777.01,55344.67,5218.31
Maharashtra,Ahmednagar,2018,Sugarcane,44329.51,97328.02,3180.42
Maharashtra,Kolhapur,2020,Wheat,26987.34,1009080.45,3150.86
Maharashtra,Kolhapur,2021,Sugarcane,35523.82,610776.78,3901.88
Maharashtra,Solapur,2025,Soybean,16470.46,741425.72,4720.92
Maharashtra,Aurangabad,2023,Sugarcane,28108.35,515426.59,4160.9
Maharashtra,Pune,2018,Wheat,36348.09,380827.52,3946.12
Maharashtra,Pune,2021,Cotton,14893.95,537778.59,2544.19
Maharashtra,Dhule,2024,Maize,34457.85,290470.57,3965.41
Maharashtra,Solapur,2024,Soybean,28481.28,1018297.48,1068.0
Maharashtra,Kolhapur,2022,Sugarcane,21766.24,153052.37,2752.57
Maharashtra,Ahmednagar,2023,Rice,35677.18,775592.62,1535.93
Maharashtra,Jalgaon,2023,Chickpea,15913.53,715502.08,3456.62
Maharashtra,Aurangabad,2018,Potato,35753.69,453234.46,1941.25
Maharashtra,Jalgaon,2020,Cotton,27600.59,153882.94,3282.64
Maharashtra,Kolhapur,2019,Sugarcane,12355.63,1055184.89,4775.29
Maharashtra,Kolhapur,2024,Onion,33446.95,854525.77,2886.96
Maharashtra,Nashik,2020,Tomato,44249.74,1214309.79,1703.01
Maharashtra,Aurangabad,2025,Chickpea,15569.7,353667.8,1726.4
Maharashtra,Dhule,2023,Sugarcane,40635.36,1187450.39,5484.4
Maharashtra,Pune,2024,Tomato,16872.9,438272.61,4794.98
Maharashtra,Dhule,2021,Potato,41073.95,169329.8,701.15
Maharashtra,Pune,2024,Tomato,2652.44,202806.97,5684.98
Maharashtra,Nashik,2022,Rice,460.04,331977.19,1119.11
Maharashtra,Dhule,2023,Tomato,5751.78,1023802.13,4091.18
Maharashtra,Solapur,2020,Chickpea,43709.75,366320.62,3533.27
Maharashtra,Aurangabad,2023,Rice,26732.72,906004.5,756.7
Maharashtra,Satara,2025,Tomato,29745.65,385155.91,2123.45
Maharashtra,Aurangabad,2019,Soybean,42126.05,548152.59,4767.19
Maharashtra,Aurangabad,2024,Tomato,2627.23,1334637.03,2187.84
Maharashtra,Nashik,2019,Onion,19416.64,750792.88,3141.83
Maharashtra,Jalgaon,2022,Cotton,32190.21,900577.61,4338.73
Maharashtra,Kolhapur,2018,Wheat,20293.54,284320.61,893.65
Maharashtra,Sangli,2025,Soybean,1703.3,197693.35,5079.33
Maharashtra,Satara,2020,Maize,32582.09,620063.8,728.7
Maharashtra,Ahmednagar,2023,Maize,19630.92,1283150.56,1943.13
Maharashtra,Jalgaon,2025,Sugarcane,1058.53,361765.03,4696.87
Maharashtra,Pune,2025,Sugarcane,8608.87,932727.84,5515.31
Maharashtra,Aurangabad,2020,Chickpea,10957.35,1308208.28,4681.89
Maharashtra,Nashik,2019,Potato,25579.73,1401648.43,1748.5
Maharashtra,Nashik,2021,Tomato,9400.11,1490688.51,5921.48
Maharashtra,Aurangabad,2025,Cotton,18130.23,1144554.26,2773.34
Maharashtra,Pune,2020,Cotton,37558.22,112977.67,2570.48
Maharashtra,Satara,2024,Chickpea,40405.22,1307257.26,5258.8
Maharashtra,Satara,2025,Soybean,39791.11,1328512.49,864.15
Maharashtra,Jalgaon,2019,Potato,34784.63,836145.62,3558.45
Maharashtra,Aurangabad,2021,Tomato,27136.43,101613.78,5810.94
Maharashtra,Solapur,2018,Sugarcane,27576.45,715259.63,1050.72
Maharashtra,Dhule,2024,Tomato,47674.04,316444.7,3474.67
Maharashtra,Solapur,2018,Cotton,43905.65,663439.55,1228.51
Maharashtra,Ahmednagar,2019,Wheat,32524.23,1086327.65,5394.88
Maharashtra,Solapur,2024,Cotton,23477.9,1001492.19,3732.62
Maharashtra,Nashik,2019,Tomato,36480.61,1170097.76,1790.32
Maharashtra,Jalgaon,2018,Maize,3229.52,715045.85,2188.74
Maharashtra,Sangli,2019,Sugarcane,47235.95,766432.73,3341.47
Maharashtra,Kolhapur,2024,Rice,27424.22,1403566.01,4489.41
Maharashtra,Ahmednagar,2022,Cotton,25189.24,946959.93,3181.22
Maharashtra,Sangli,2020,Wheat,14612.66,1121437.18,1540.96
Maharashtra,Aurangabad,2022,Onion,269.14,996943.6,4394.72
Maharashtra,Solapur,2021,Rice,3156.04,960907.88,1151.0
Maharashtra,Kolhapur,2019,Cotton,13224.12,1370356.45,4951.74
Maharashtra,Sangli,2019,Cotton,27123.16,535050.45,2675.8
Maharashtra,Pune,2024,Tomato,4270.66,641821.65,4089.91
Maharashtra,Ahmednagar,2021,Maize,48605.4,569935.73,2395.85
Maharashtra,Dhule,2024,Onion,20606.94,1147912.76,4179.9
Maharashtra,Ahmednagar,2020,Maize,15884.24,1302695.21,5390.53
Maharashtra,Kolhapur,2018,Chickpea,26307.3,536574.85,4357.72
Maharashtra,Sangli,2025,Maize,3342.83,213949.43,4192.75
Maharashtra,Kolhapur,2022,Chickpea,42537.49,741412.88,4665.76
Maharashtra,Aurangabad,2020,Tomato,23067.83,1476500.66,3251.17
Maharashtra,Jalgaon,2018,Wheat,8998.94,305920.81,
Maharashtra,Kolhapur,2018,Potato,8170.55,678275.41,4985.37
Maharashtra,Satara,2019,Sugarcane,18111.62,407444.51,4066.65
Maharashtra,Nashik,2021,Cotton,28710.8,1384056.99,2226.01
Maharashtra,Solapur,2023,Wheat,20903.6,826600.5,2017.29
Maharashtra,Dhule,2025,Rice,29880.19,868327.32,3249.61
Maharashtra,Nashik,2019,Potato,35303.34,12887.74,1640.18
Maharashtra,Satara,2024,Cotton,37449.59,979343.24,5330.31
Maharashtra,Pune,2023,Wheat,20107.68,459875.46,4837.15
Maharashtra,Jalgaon,2025,Sugarcane,35878.47,770367.81,2195.73
Maharashtra,Dhule,2021,Wheat,7161.07,796835.54,771.72
Maharashtra,Jalgaon,2025,Tomato,25703.5,888540.68,785.27
Maharashtra,Jalgaon,2019,Potato,3718.48,1235397.32,2134.16
Maharashtra,Pune,2022,Onion,12280.87,448752.49,1311.29
Maharashtra,Pune,2019,Wheat,29201.02,384614.0,5303.33
Maharashtra,Jalgaon,2022,Sugarcane,37046.99,1193815.37,2814.31
Maharashtra,Pune,2023,Sugarcane,4855.94,1078218.5,2414.15
Maharashtra,Solapur,2020,Maize,10432.79,338809.6,1698.45
Maharashtra,Pune,2020,Maize,49595.72,1754.12,5126.61
Maharashtra,Nashik,2023,Potato,16949.12,999071.51,4858.57
Maharashtra,Aurangabad,2023,Cotton,14273.63,236188.45,2613.8
Maharashtra,Kolhapur,2019,Soybean,4354.33,1435515.92,
Maharashtra,Sangli,2020,Onion,34772.65,906808.72,5735.94
Maharashtra,Ahmednagar,2018,Sugarcane,25461.84,1274552.91,2237.23
Maharashtra,Dhule,2025,Maize,7961.79,1208529.47,4741.0
Maharashtra,Sangli,2022,Tomato,31681.62,836917.69,3046.77
Maharashtra,Nashik,2023,Tomato,26335.44,657806.9,4799.05
Maharashtra,Jalgaon,2024,Soybean,28290.77,745449.21,3148.85
Maharashtra,Sangli,2021,Cotton,49743.25,1204581.62,5590.58
Maharashtra,Ahmednagar,2022,Maize,1527.78,960855.83,4902.33
